"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"3","GO:0009337",2,2,0.13,"0.0039","sulfite reductase complex (NADPH)","cysI,cysJ","cysI,cysJ"
"4","GO:0009325",6,3,0.38,"0.0042","nitrate reductase complex","narG,narH,narI,narV,narY,narZ","narV,narY,narZ"
"5","GO:0016020",968,80,60.53,"0.0050","membrane","aaeB,aas,abrB,aceE,ackA,acrA,acrB,acrD,acrE,acrF,acrZ,actP,adeP,adeQ,adhE,adiC,aer,agaC,agaD,ahpC,alaE,alaS,alsA,alsB,alsC,alx,amiD,ampG,amtB,ansP,appB,appC,aqpZ,araE,araF,araG,araH,araJ,arcB,argO,arnC,arnE,arnF,arnT,aroP,artM,artP,artQ,ascF,asmA,aspA,atoE,atoS,atpA,atpB,atpC,atpD,atpF,atpG,atpH,atpI,bacA,baeS,bamA,bamB,bamC,bamD,bamE,barA,basS,bcr,bcsA,bcsB,bcsG,bepA,betT,bfr,bglF,bglH,bglX,bhsA,brnQ,btuC,btuD,cadB,caiT,cbrB,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,cdgI,cdh,cdsA,chaA,chbC,cheA,cheB,cheR,cheZ,chiP,cirA,clcA,clcB,clpB,clpP,clsA,clsB,clsC,cmtA,cobS,codB,copA,corA,cpxA,crcB,creC,crr,csgB,csgE,csgF,csgG,cspC,csrD,cstA,cusA,cusC,cusS,cvpA,cvrA,cybB,cycA,cydA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cyoE,cysU,cysW,cysZ,dacA,dacC,dacD,dadA,dauA,dctA,dcuA,dcuB,dcuC,dcuS,dedA,degQ,degS,deoA,deoC,deoD,dgcE,dgcI,dgcJ,dgcN,dgcQ,dgkA,dgoT,dinF,djlA,dld,dmsA,dmsB,dmsC,dmsD,dnaA,dnaJ,dnaK,dpiB,dppA,dppB,dppC,dppD,dppF,dps,dsbB,dsbD,dsdX,dtpA,dtpB,dtpC,dtpD,eamA,eamB,ecnA,ecnB,eda,elyC,emrA,emrB,emrD,emrE,emrY,eno,entB,entD,entF,envC,envZ,eptA,eptB,eptC,era,eutH,evgS,exbB,exbD,exuT,fabI,fadD,fadE,fadL,fbaB,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,feoB,fepA,fepB,fepC,fepD,fepE,fepG,fetA,fetB,fhuA,fhuB,fhuE,fimD,fiu,flgG,flhA,flhB,fliG,fliP,fliR,focA,frdA,frdB,frdC,frdD,fruA,fruB,frvB,fryC,fsr,ftsA,ftsE,ftsH,ftsI,ftsL,ftsN,ftsQ,ftsW,ftsX,ftsY,fucP,fxsA,gabP,gadC,galP,gapA,garP,gcd,ghoT,glcA,glnA,glnP,glnQ,glpC,glpD,glpF,glpG,glpT,glrK,gltJ,gltK,gltP,gltS,glyA,gntT,gntU,gor,groL,gsiA,gsiC,gsiD,gspF,gspL,gspO,gudP,gyrA,hcaT,hda,hdeD,hflC,hflD,hflK,hisM,hisQ,hns,hofC,hslJ,hslU,hsrA,htpX,hupA,hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO,hycB,hycC,hycD,hydN,hypA,idnT,infB,infC,kch,kdgT,kdpA,kdpB,kdpC,kefB,kefC,kgtP,kup,lacY,lamB,lapA,lapB,lepA,lepB,leuE,lgt,lhgO,livH,livM,lldD,lldP,lnt,loiP,lolB,lolC,lolD,lolE,lpd,lplT,lpoA,lpoB,lpp,lptA,lptB,lptC,lptD,lptE,lptF,lptG,lpxB,lpxH,lpxL,lpxT,lspA,lysO,lysP,macA,macB,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdh,mdlA,mdlB,mdtB,mdtC,mdtD,mdtE,mdtF,mdtG,mdtH,mdtI,mdtJ,mdtK,mdtL,mdtO,menA,mepM,mepS,metG,metI,mglA,mglC,mgtA,minD,minE,mipA,mlaA,mlaB,mlaC,mlaE,mlaF,mliC,mltA,mltD,mltF,mnmE,mntH,mntP,modB,motA,motB,mqo,mrcA,mrcB,mrdA,mrdB,mreB,mreC,mreD,msbA,mscK,mscL,mscM,mscS,mtgA,mtr,murJ,murP,nagE,nanC,nanT,napC,napG,napH,narG,narH,narI,narK,narQ,narU,narV,narX,narY,narZ,ndh,nepI,nfrB,nfsB,nhaA,nhaB,nikB,nikC,nimT,nirC,nlpA,nlpD,nlpE,nlpI,nrfC,nrfD,nrfE,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,nupC,nupG,ompA,ompC,ompF,ompG,ompL,ompN,ompT,ompW,opgB,opgC,opgE,oppB,oppC,oppF,ortT,osmF,pagP,pal,panB,panF,parC,pbpC,pbpG,pdeA,pdeB,pdeC,pdeF,pdeK,pdeN,pflB,pgpA,pgpB,pgpC,pgsA,pheP,pheT,phoE,phoQ,phoR,phoU,plaP,pldA,pldB,plsB,plsC,pnp,pntA,pntB,pnuC,potB,potC,potF,potH,potI,ppa,ppiD,ppk,pppA,pqiA,proP,proW,proY,psiE,pspA,pspD,pspG,pstA,pstB,pstC,pstS,ptsG,purA,purC,putA,putP,pykF,pyrD,qmcA,qseC,rarD,rbbA,rbsB,rbsC,rclC,rcnA,rcsC,rcsD,rcsF,relA,rfaD,rfe,rhaT,rho,rhtA,rhtB,rhtC,ridA,rlpA,rodZ,rpoA,rpoB,rpoC,rpoH,rpsA,rpsG,rseC,rseP,rstB,rsxA,rsxD,rsxE,rsxG,rutG,safA,sanA,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,sdhC,sdhD,secA,secD,secE,secF,secG,secY,setB,shiA,slp,slyB,sodB,sohB,spoT,sppA,srlA,srlE,sstT,ssuA,syd,talB,tamA,tar,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tcyP,tdcC,tdcE,tehA,thiP,tig,tnaA,tnaB,tolA,tolC,tolQ,tolR,tonB,torC,torS,torY,tpiA,tqsA,treB,trkA,trkH,tsf,tsgA,tsr,tsx,ttdT,tyrP,tyrS,uacT,ubiA,ubiB,udp,ugpA,ugpC,ugpE,uhpB,uhpC,uhpT,uidB,uidC,ulaA,umuC,upp,uraA,uspA,uspB,uup,viaA,waaA,waaH,wcaD,wcaJ,wecH,wrbA,wzc,wzxC,wzxE,wzyE,wzzE,xanP,xanQ,xapB,xylH,yaaJ,yaaU,yabI,yadG,yadH,yadS,yagU,yahC,yahN,yaiO,yaiW,yaiY,yajC,ybaL,ybaN,ybaT,ybbJ,ybbP,ybbW,ybbY,ybcI,ybdG,ybhC,ybhF,ybhG,ybhI,ybhL,ybhM,ybhN,ybhQ,ybhR,ybhS,ybiO,ybjG,ybjJ,ybjL,ybjM,ybjO,ybjT,ycaC,ycaD,ycaI,yccA,yccF,yccM,yccS,ycdZ,yceJ,yceK,ycfT,ycfZ,ychE,ychQ,yciB,yciC,ycjF,ycjO,ycjP,ydbH,ydcO,ydcU,ydcV,ydcZ,yddA,yddG,ydeA,ydeE,ydfJ,ydgC,ydgI,ydgK,ydhC,ydhK,ydhP,ydhU,ydiM,ydiN,ydjE,ydjK,ydjM,ydjX,ydjZ,yebE,yebQ,yebS,yebZ,yecN,yedA,yedE,yedI,yeeA,yeeO,yegH,yegT,yehB,yehW,yehX,yehY,yeiB,yeiH,yejA,yejB,yejE,yejF,yejM,yfaV,yfaZ,yfbS,yfbV,yfcA,yfcC,yfcJ,yfdC,yfdV,yfeH,yfeZ,yfgH,yfgM,yfgO,yfhM,yfjD,ygaH,ygaP,ygaZ,ygbE,ygbN,ygcS,ygdD,ygdQ,ygfS,yggE,yggT,yghB,yghG,yghQ,ygiB,ygiD,ygiM,ygjI,ygjV,yhaH,yhbE,yhbX,yhcB,yhdX,yhdY,yhfK,yhfT,yhgE,yhgN,yhhJ,yhhN,yhhQ,yhhS,yhhT,yhiD,yhiM,yhjD,yhjE,yhjG,yhjV,yhjX,yiaA,yiaB,yibH,yibI,yicG,yicJ,yicL,yidC,yidE,yidG,yidH,yidK,yifK,yihG,yihO,yihP,yihY,yiiR,yijD,yijE,yjbB,yjbF,yjcE,yjcH,yjdF,yjeH,yjeM,yjeO,yjfF,yjfL,yjiG,yjiH,yjiJ,yjiK,yjiN,yjjB,yjjP,ykgH,ykgR,ylaC,ymfA,ynaI,yneE,ynfA,ynfB,ynfM,ynhF,yniB,ynjF,yoaE,yobD,yohC,yohD,yohJ,yohK,ypdA,yphA,yphD,ypjD,yqaA,yqcE,yqeG,yqfA,yqgA,yqhA,yqiJ,yqiK,yqjA,yqjD,yqjE,yqjF,yrbG,ysaA,ytfF,ytfL,ytfQ,ytfR,ytfT,zipA,zntA,znuB,zraS,zupT","actP,aer,alaE,alsA,alsB,appC,araF,arnE,arnF,aspA,ccmD,cheA,cheB,cheR,cheZ,clsB,cysU,cysW,dadA,dctA,dcuB,dtpB,emrD,fbaB,frdA,frdB,frdC,frdD,gabP,gadC,glcA,hdeD,hyaA,hyaB,lhgO,mdtE,mdtF,narU,narV,narY,narZ,nuoK,ompW,osmF,rbsC,sdhA,sdhC,sdhD,slp,sodB,tar,tnaA,tnaB,tsr,ugpA,ugpC,ugpE,uspB,wrbA,ybaT,ybhN,ybiO,ycaC,ydcU,ydcV,yehW,yehX,yehY,yfdC,yhdY,yhhT,yhiD,yhiM,yhjG,yjcH,yohC,yphA,yqjD,yqjE,ytfQ"
"6","GO:0005886",788,68,49.27,"0.0108","plasma membrane","aaeB,aas,abrB,acrA,acrB,acrD,acrE,acrF,acrZ,actP,adeP,adeQ,adiC,aer,agaC,agaD,alaE,alsA,alsB,alsC,alx,ampG,amtB,ansP,appB,appC,aqpZ,araE,araF,araG,araH,araJ,arcB,argO,arnC,arnE,arnF,arnT,aroP,artM,artP,artQ,ascF,asmA,atoE,atoS,atpB,atpI,bacA,baeS,barA,basS,bcr,bcsA,bcsB,bcsG,betT,bglF,bglX,brnQ,btuC,btuD,cadB,caiT,cbrB,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,cdgI,cdh,cdsA,chaA,chbC,cheA,cheB,cheR,cheZ,clcA,clcB,cmtA,cobS,codB,copA,corA,cpxA,crcB,creC,crr,csrD,cstA,cusA,cusS,cvpA,cvrA,cybB,cycA,cydA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cyoE,cysU,cysW,cysZ,dacA,dacC,dacD,dadA,dauA,dctA,dcuA,dcuB,dcuC,dcuS,dedA,degQ,degS,dgcE,dgcI,dgcJ,dgcN,dgcQ,dgkA,dgoT,dinF,djlA,dld,dmsA,dmsB,dmsC,dmsD,dnaA,dpiB,dppA,dppB,dppC,dppD,dppF,dsbD,dsdX,dtpA,dtpB,dtpC,dtpD,eamA,eamB,elyC,emrA,emrB,emrD,emrE,emrY,entB,entD,entF,envC,envZ,eptA,eptB,eptC,era,eutH,exbB,exbD,exuT,fadD,fadE,fdnH,fdnI,fdoH,fdoI,feoB,fepB,fepC,fepD,fepE,fepG,fetA,fetB,fhuB,flhA,flhB,fliG,fliP,fliR,focA,frdA,frdB,frdC,frdD,fruA,fruB,frvB,fryC,fsr,ftsA,ftsE,ftsI,ftsL,ftsN,ftsQ,ftsW,ftsX,ftsY,fucP,fxsA,gabP,gadC,galP,garP,glcA,glnP,glnQ,glpC,glpD,glpF,glpG,glpT,glrK,gltJ,gltK,gltP,gltS,gntT,gntU,gsiA,gsiC,gsiD,gspF,gspL,gspO,gudP,hcaT,hdeD,hflC,hflD,hflK,hisM,hisQ,hofC,hsrA,htpX,hyaA,hyaC,hybA,hybB,hybC,hybO,hycC,hycD,hypA,idnT,kch,kdgT,kdpA,kdpB,kefB,kefC,kgtP,kup,lacY,lapA,lapB,lepA,lepB,leuE,lgt,lhgO,livH,livM,lldD,lldP,lnt,lolC,lolD,lolE,lplT,lptB,lptC,lptF,lptG,lpxB,lpxH,lpxL,lpxT,lspA,lysO,lysP,macA,macB,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdlA,mdlB,mdtB,mdtC,mdtD,mdtE,mdtF,mdtH,mdtI,mdtJ,mdtK,mdtL,mdtO,menA,mepM,metI,mglA,mglC,mgtA,minD,minE,mlaB,mlaC,mlaE,mlaF,mltA,mnmE,mntH,mntP,modB,motA,motB,mqo,mrcA,mrcB,mrdA,mrdB,mreB,mreC,mreD,msbA,mscK,mscL,mscM,mtgA,mtr,murJ,murP,nagE,nanT,napG,napH,narG,narH,narI,narK,narQ,narU,narV,narX,ndh,nepI,nfrB,nhaA,nhaB,nikB,nikC,nimT,nirC,nlpA,nrfC,nrfD,nrfE,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,nupC,nupG,opgB,opgC,opgE,oppB,oppC,oppF,ortT,osmF,panF,parC,pbpG,pdeA,pdeB,pdeC,pdeF,pdeK,pdeN,pgpA,pgpB,pgpC,pgsA,pheP,phoQ,phoR,phoU,plaP,pldB,plsB,plsC,pntA,pntB,pnuC,potB,potC,potF,potH,potI,ppiD,pppA,pqiA,proP,proW,proY,psiE,pspA,pspD,pspG,pstA,pstB,pstC,pstS,ptsG,putA,putP,qmcA,qseC,rarD,rbbA,rbsB,rbsC,rclC,rcnA,rcsC,rcsD,relA,rfe,rhaT,rhtA,rhtB,rhtC,rodZ,rpoH,rseC,rseP,rstB,rsxA,rsxD,rsxE,rutG,safA,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,sdhC,sdhD,secA,secD,secE,secF,secG,secY,setB,shiA,sohB,spoT,sppA,srlA,srlE,sstT,ssuA,syd,tar,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tcyP,tdcC,tehA,thiP,tnaB,tolA,tolQ,tolR,tonB,torS,torY,tqsA,treB,trkH,tsgA,tsr,ttdT,tyrP,uacT,ubiA,ubiB,ugpA,ugpC,ugpE,uhpB,uhpC,uhpT,uidB,ulaA,uraA,uspB,uup,waaA,wcaD,wcaJ,wecH,wzc,wzxC,wzxE,wzyE,xanP,xanQ,xapB,xylH,yaaJ,yaaU,yabI,yadG,yadH,yadS,yagU,yahC,yahN,yaiY,yajC,ybaL,ybaN,ybaT,ybbJ,ybbP,ybbW,ybbY,ybcI,ybdG,ybhF,ybhG,ybhI,ybhL,ybhM,ybhN,ybhQ,ybhR,ybhS,ybiO,ybjG,ybjJ,ybjL,ybjM,ybjO,ybjT,ycaD,ycaI,yccA,yccF,yccM,yccS,ycdZ,yceJ,ycfT,ycfZ,ychE,ychQ,yciB,yciC,ycjF,ycjO,ycjP,ydbH,ydcO,ydcU,ydcV,ydcZ,yddA,yddG,ydeA,ydeE,ydfJ,ydgC,ydgI,ydgK,ydhC,ydhK,ydhP,ydhU,ydiM,ydiN,ydjE,ydjK,ydjM,ydjX,ydjZ,yebE,yebQ,yebS,yebZ,yecN,yedA,yedE,yedI,yeeA,yeeO,yegH,yegT,yehW,yehX,yehY,yeiB,yeiH,yejA,yejB,yejE,yejF,yejM,yfaV,yfbS,yfbV,yfcA,yfcC,yfcJ,yfdC,yfdV,yfeH,yfeZ,yfgM,yfgO,yfhM,yfjD,ygaH,ygaP,ygaZ,ygbE,ygbN,ygcS,ygdD,ygdQ,yggE,yggT,yghB,yghQ,ygiD,ygiM,ygjI,ygjV,yhaH,yhbE,yhbX,yhcB,yhdX,yhdY,yhfK,yhfT,yhgE,yhgN,yhhJ,yhhN,yhhQ,yhhS,yhhT,yhiD,yhiM,yhjD,yhjE,yhjG,yhjV,yhjX,yiaA,yiaB,yibH,yibI,yicG,yicJ,yicL,yidC,yidE,yidG,yidH,yidK,yifK,yihG,yihO,yihP,yihY,yiiR,yijD,yijE,yjbB,yjcE,yjcH,yjdF,yjeH,yjeM,yjeO,yjfF,yjfL,yjiG,yjiH,yjiJ,yjiK,yjiN,yjjB,yjjP,ykgH,ykgR,ylaC,ymfA,ynaI,yneE,ynfA,ynfM,yniB,ynjF,yoaE,yobD,yohC,yohD,yohJ,yohK,ypdA,yphA,yphD,ypjD,yqaA,yqcE,yqeG,yqfA,yqgA,yqhA,yqiJ,yqiK,yqjA,yqjD,yqjE,yqjF,yrbG,ytfF,ytfL,ytfQ,ytfR,ytfT,zipA,zntA,znuB,zraS,zupT","actP,aer,alaE,alsA,alsB,appC,araF,arnE,arnF,ccmD,cheA,cheB,cheR,cheZ,cysU,cysW,dadA,dctA,dcuB,dtpB,emrD,frdA,frdB,frdC,frdD,gabP,gadC,glcA,hdeD,hyaA,lhgO,mdtE,mdtF,narU,narV,nuoK,osmF,rbsC,sdhA,sdhC,sdhD,tar,tnaB,tsr,ugpA,ugpC,ugpE,uspB,ybaT,ybhN,ybiO,ydcU,ydcV,yehW,yehX,yehY,yfdC,yhdY,yhhT,yhiD,yhiM,yhjG,yjcH,yohC,yphA,yqjD,yqjE,ytfQ"
"7","GO:0071944",862,69,53.9,"0.0498","cell periphery","aaeB,aas,abrB,acrA,acrB,acrD,acrE,acrF,acrZ,actP,adeP,adeQ,adiC,aer,agaC,agaD,alaE,alsA,alsB,alsC,alx,ampG,amtB,ansP,appB,appC,aqpZ,araE,araF,araG,araH,araJ,arcB,argO,arnC,arnE,arnF,arnT,aroP,artM,artP,artQ,ascF,asmA,atoE,atoS,atpB,atpI,bacA,baeS,bamA,bamB,bamC,bamD,bamE,barA,basS,bcr,bcsA,bcsB,bcsG,betT,bglF,bglH,bglX,bhsA,brnQ,btuC,btuD,cadB,caiT,cbrB,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,cdgI,cdh,cdsA,chaA,chbC,cheA,cheB,cheR,cheZ,chiP,cirA,clcA,clcB,cmtA,cobS,codB,copA,corA,cpxA,crcB,creC,crr,csgB,csgE,csgF,csgG,csrD,cstA,cusA,cusC,cusS,cvpA,cvrA,cybB,cycA,cydA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cyoE,cysU,cysW,cysZ,dacA,dacC,dacD,dadA,dauA,dctA,dcuA,dcuB,dcuC,dcuS,dedA,degQ,degS,dgcE,dgcI,dgcJ,dgcN,dgcQ,dgkA,dgoT,dinF,djlA,dld,dmsA,dmsB,dmsC,dmsD,dnaA,dpiB,dppA,dppB,dppC,dppD,dppF,dsbD,dsdX,dtpA,dtpB,dtpC,dtpD,eamA,eamB,ecnA,ecnB,elyC,emrA,emrB,emrD,emrE,emrY,entB,entD,entF,envC,envZ,eptA,eptB,eptC,era,eutH,exbB,exbD,exuT,fadD,fadE,fadL,fdnH,fdnI,fdoH,fdoI,feoB,fepA,fepB,fepC,fepD,fepE,fepG,fetA,fetB,fhuA,fhuB,fhuE,fimD,fiu,flgG,flhA,flhB,fliG,fliP,fliR,focA,frdA,frdB,frdC,frdD,fruA,fruB,frvB,fryC,fsr,ftsA,ftsE,ftsI,ftsL,ftsN,ftsQ,ftsW,ftsX,ftsY,fucP,fxsA,gabP,gadC,galP,garP,glcA,glnP,glnQ,glpC,glpD,glpF,glpG,glpT,glrK,gltJ,gltK,gltP,gltS,gntT,gntU,gsiA,gsiC,gsiD,gspF,gspL,gspO,gudP,hcaT,hdeD,hflC,hflD,hflK,hisM,hisQ,hofC,hslJ,hsrA,htpX,hyaA,hyaC,hybA,hybB,hybC,hybO,hycC,hycD,hypA,idnT,kch,kdgT,kdpA,kdpB,kefB,kefC,kgtP,kup,lacY,lamB,lapA,lapB,lepA,lepB,leuE,lgt,lhgO,livH,livM,lldD,lldP,lnt,loiP,lolB,lolC,lolD,lolE,lplT,lpoA,lpoB,lpp,lptA,lptB,lptC,lptD,lptE,lptF,lptG,lpxB,lpxH,lpxL,lpxT,lspA,lysO,lysP,macA,macB,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdlA,mdlB,mdtB,mdtC,mdtD,mdtE,mdtF,mdtH,mdtI,mdtJ,mdtK,mdtL,mdtO,menA,mepM,mepS,metI,mglA,mglC,mgtA,minD,minE,mipA,mlaA,mlaB,mlaC,mlaE,mlaF,mliC,mltA,mltD,mltF,mnmE,mntH,mntP,modB,motA,motB,mqo,mrcA,mrcB,mrdA,mrdB,mreB,mreC,mreD,msbA,mscK,mscL,mscM,mtgA,mtr,murJ,murP,nagE,nanC,nanT,napG,napH,narG,narH,narI,narK,narQ,narU,narV,narX,ndh,nepI,nfrB,nhaA,nhaB,nikB,nikC,nimT,nirC,nlpA,nlpD,nlpE,nlpI,nrfC,nrfD,nrfE,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,nupC,nupG,ompA,ompC,ompF,ompG,ompL,ompT,ompW,opgB,opgC,opgE,oppB,oppC,oppF,ortT,osmF,pagP,pal,panF,parC,pbpG,pdeA,pdeB,pdeC,pdeF,pdeK,pdeN,pgpA,pgpB,pgpC,pgsA,pheP,phoQ,phoR,phoU,plaP,pldA,pldB,plsB,plsC,pntA,pntB,pnuC,potB,potC,potF,potH,potI,ppiD,ppk,pppA,pqiA,proP,proW,proY,psiE,pspA,pspD,pspG,pstA,pstB,pstC,pstS,ptsG,putA,putP,qmcA,qseC,rarD,rbbA,rbsB,rbsC,rclC,rcnA,rcsC,rcsD,rcsF,relA,rfe,rhaT,rhtA,rhtB,rhtC,rlpA,rodZ,rpoH,rseC,rseP,rstB,rsxA,rsxD,rsxE,rsxG,rutG,safA,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,sdhC,sdhD,secA,secD,secE,secF,secG,secY,setB,shiA,slyB,sohB,spoT,sppA,srlA,srlE,sstT,ssuA,syd,tamA,tar,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tcyP,tdcC,tehA,thiP,tnaB,tolA,tolC,tolQ,tolR,tonB,torS,torY,tqsA,treB,trkH,tsgA,tsr,tsx,ttdT,tyrP,uacT,ubiA,ubiB,ugpA,ugpC,ugpE,uhpB,uhpC,uhpT,uidB,uidC,ulaA,uraA,uspB,uup,waaA,wcaD,wcaJ,wecH,wzc,wzxC,wzxE,wzyE,xanP,xanQ,xapB,xylH,yaaJ,yaaU,yabI,yadG,yadH,yadS,yagU,yahC,yahN,yaiO,yaiW,yaiY,yajC,ybaL,ybaN,ybaT,ybbJ,ybbP,ybbW,ybbY,ybcI,ybdG,ybhC,ybhF,ybhG,ybhI,ybhL,ybhM,ybhN,ybhQ,ybhR,ybhS,ybiO,ybjG,ybjJ,ybjL,ybjM,ybjO,ybjT,ycaD,ycaI,yccA,yccF,yccM,yccS,ycdZ,yceJ,yceK,ycfT,ycfZ,ychE,ychQ,yciB,yciC,ycjF,ycjO,ycjP,ycjT,ydbH,ydcO,ydcU,ydcV,ydcZ,yddA,yddG,ydeA,ydeE,ydfJ,ydgC,ydgI,ydgK,ydhC,ydhK,ydhP,ydhU,ydiM,ydiN,ydjE,ydjK,ydjM,ydjX,ydjZ,yebE,yebQ,yebS,yebZ,yecN,yedA,yedE,yedI,yeeA,yeeO,yegH,yegT,yehB,yehW,yehX,yehY,yeiB,yeiH,yejA,yejB,yejE,yejF,yejM,yfaV,yfaZ,yfbS,yfbV,yfcA,yfcC,yfcJ,yfdC,yfdV,yfeH,yfeZ,yfgH,yfgM,yfgO,yfhM,yfjD,ygaH,ygaP,ygaZ,ygbE,ygbN,ygcS,ygdD,ygdQ,yggE,yggT,yghB,yghG,yghQ,ygiB,ygiD,ygiM,ygjI,ygjV,yhaH,yhbE,yhbX,yhcB,yhdX,yhdY,yhfK,yhfT,yhgE,yhgN,yhhJ,yhhN,yhhQ,yhhS,yhhT,yhiD,yhiM,yhjD,yhjE,yhjG,yhjV,yhjX,yiaA,yiaB,yibH,yibI,yicG,yicJ,yicL,yidC,yidE,yidG,yidH,yidK,yifK,yihG,yihO,yihP,yihY,yiiR,yijD,yijE,yjbB,yjbF,yjcE,yjcH,yjdF,yjeH,yjeM,yjeO,yjfF,yjfL,yjiG,yjiH,yjiJ,yjiK,yjiN,yjjB,yjjP,ykgH,ykgR,ylaC,ymfA,ynaI,yneE,ynfA,ynfB,ynfM,yniB,ynjF,yoaE,yobD,yohC,yohD,yohJ,yohK,ypdA,yphA,yphD,ypjD,yqaA,yqcE,yqeG,yqfA,yqgA,yqhA,yqiJ,yqiK,yqjA,yqjD,yqjE,yqjF,yrbG,ytfF,ytfL,ytfQ,ytfR,ytfT,zipA,zntA,znuB,zraS,zupT","actP,aer,alaE,alsA,alsB,appC,araF,arnE,arnF,ccmD,cheA,cheB,cheR,cheZ,cysU,cysW,dadA,dctA,dcuB,dtpB,emrD,frdA,frdB,frdC,frdD,gabP,gadC,glcA,hdeD,hyaA,lhgO,mdtE,mdtF,narU,narV,nuoK,ompW,osmF,rbsC,sdhA,sdhC,sdhD,tar,tnaB,tsr,ugpA,ugpC,ugpE,uspB,ybaT,ybhN,ybiO,ydcU,ydcV,yehW,yehX,yehY,yfdC,yhdY,yhhT,yhiD,yhiM,yhjG,yjcH,yohC,yphA,yqjD,yqjE,ytfQ"
