"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0055052",22,6,1.11,"0.00054","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing","araF,araH,artM,artP,artQ,malE,malF,malG,osmF,sapA,sapB,sapC,sapD,sapF,ssuA,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY","araF,araH,osmF,yehW,yehX,yehY"
"2","GO:0009325",6,3,0.3,"0.00222","nitrate reductase complex","narG,narH,narI,narV,narY,narZ","narV,narY,narZ"
"3","GO:0005948",2,2,0.1,"0.00251","acetolactate synthase complex","ilvB,ilvN","ilvB,ilvN"
"4","GO:1990351",59,11,2.97,"0.02931","transporter complex","araF,araG,araH,artM,artP,artQ,btuC,btuD,ccmA,ccmB,cydC,cydD,dppA,dppB,dppC,dppD,dppF,fepB,fepC,fepD,lptB,lptF,lptG,malE,malF,malG,malK,mlaB,mlaC,mlaE,mlaF,osmF,potF,potH,potI,sapA,sapB,sapC,sapD,sapF,ssuA,tcyJ,tcyL,tcyN,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yjfF,ytfQ,ytfR,ytfT","araF,araG,araH,osmF,yehW,yehX,yehY,yjfF,ytfQ,ytfR,ytfT"
"5","GO:0098533",59,11,2.97,"0.02931","ATPase dependent transmembrane transport complex","araF,araG,araH,artM,artP,artQ,btuC,btuD,ccmA,ccmB,cydC,cydD,dppA,dppB,dppC,dppD,dppF,fepB,fepC,fepD,lptB,lptF,lptG,malE,malF,malG,malK,mlaB,mlaC,mlaE,mlaF,osmF,potF,potH,potI,sapA,sapB,sapC,sapD,sapF,ssuA,tcyJ,tcyL,tcyN,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yjfF,ytfQ,ytfR,ytfT","araF,araG,araH,osmF,yehW,yehX,yehY,yjfF,ytfQ,ytfR,ytfT"
"6","GO:0043190",59,11,2.97,"0.02931","ATP-binding cassette (ABC) transporter complex","araF,araG,araH,artM,artP,artQ,btuC,btuD,ccmA,ccmB,cydC,cydD,dppA,dppB,dppC,dppD,dppF,fepB,fepC,fepD,lptB,lptF,lptG,malE,malF,malG,malK,mlaB,mlaC,mlaE,mlaF,osmF,potF,potH,potI,sapA,sapB,sapC,sapD,sapF,ssuA,tcyJ,tcyL,tcyN,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yjfF,ytfQ,ytfR,ytfT","araF,araG,araH,osmF,yehW,yehX,yehY,yjfF,ytfQ,ytfR,ytfT"
"7","GO:1902495",59,11,2.97,"0.02931","transmembrane transporter complex","araF,araG,araH,artM,artP,artQ,btuC,btuD,ccmA,ccmB,cydC,cydD,dppA,dppB,dppC,dppD,dppF,fepB,fepC,fepD,lptB,lptF,lptG,malE,malF,malG,malK,mlaB,mlaC,mlaE,mlaF,osmF,potF,potH,potI,sapA,sapB,sapC,sapD,sapF,ssuA,tcyJ,tcyL,tcyN,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yjfF,ytfQ,ytfR,ytfT","araF,araG,araH,osmF,yehW,yehX,yehY,yjfF,ytfQ,ytfR,ytfT"
"8","GO:1904949",60,11,3.02,"0.03251","ATPase complex","araF,araG,araH,artM,artP,artQ,btuC,btuD,ccmA,ccmB,cydC,cydD,dppA,dppB,dppC,dppD,dppF,fepB,fepC,fepD,lptB,lptF,lptG,malE,malF,malG,malK,mlaB,mlaC,mlaE,mlaF,osmF,potF,potH,potI,recQ,sapA,sapB,sapC,sapD,sapF,ssuA,tcyJ,tcyL,tcyN,ugpA,ugpC,ugpE,ycjP,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yjfF,ytfQ,ytfR,ytfT","araF,araG,araH,osmF,yehW,yehX,yehY,yjfF,ytfQ,ytfR,ytfT"
