,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
PROKKA_04528,1.4481893151906924,2.202781167471335,0.878906783582735,5.294346423925314
PROKKA_04529,155.3255311072861,125.81259601191941,133.61548794523895,99.7738487654784
PROKKA_04530,4.193056393669771,3.378889916685273,1.688960705153505,4.624517244556777
PROKKA_04531,1.971721508207773,1.3038551930618956,0.3159955062296653,3.0455829166570774
PROKKA_04532,6.4469140348076985,2.8741856731543174,1.5332167880491518,9.851487895992449
PROKKA_04533,8.750289449697759,0.7970714675257566,0.5433020450144141,6.927289677615562
PROKKA_04534,0.5365210421331426,0.26783115863442314,4.868261617957027,37.14546414666593
PROKKA_04535,0.34527393152622,0.6511402443612244,1.638764320559782,16.584230303172074
PROKKA_04536,1.0410329147181243,2.138907255474801,2.704561797173953,20.432509128252917
PROKKA_04537,748.9271979087496,532.2605044459776,183.88008322417846,688.2530559830286
PROKKA_04538,40.31994192390769,26.273890502138464,23.56431773236548,48.687618108761455
PROKKA_04539,23.70632299770661,9.04686282369636,17.41142826252376,48.18935724634062
PROKKA_04540,36.735267272585574,44.100677744996496,45.817296484429846,48.28670948320191
PROKKA_04541,26.233223402448605,27.091731332942427,22.27637981634261,34.82158341320256
PROKKA_04542,1.3778009846199195,14.007691575637615,2.3803487125094764,19.56209908776846
PROKKA_04543,0.9971518490685407,10.16423165802878,2.919869091083053,18.886877818336107
PROKKA_04544,1.62241621588127,15.285412213759685,7.1654529388433295,19.127202227454337
PROKKA_04545,0.0,0.0,0.7552840567974949,0.0
PROKKA_04546,0.0,0.0,0.0,0.0
PROKKA_04547,18.79172883134286,11.635465080532484,13.850602718886563,19.63130999279348
PROKKA_04548,8.141041897272716,4.5392594890465405,10.378406816994966,14.420657713431451
PROKKA_04549,1.3302010762316683,49.15814359389593,2.2981130471903675,4.3507644147031135
PROKKA_04550,1.4141555119422897,54.581809133235865,0.8769405491675611,5.423368975106433
PROKKA_04551,0.6348661952528979,40.484319347413326,0.45025548527211096,3.580160379845292
PROKKA_04552,0.9148233167213105,64.24019311417729,0.5588714363813798,5.341548181796638
PROKKA_04553,4.777692938679889,601.1676128269066,3.18693028843821,38.71472887717527
PROKKA_04554,0.799947845019539,158.6327898397257,0.5384511338982141,8.361059419664228
PROKKA_04555,4.219337426368334,45.257285090172104,0.6590877267387976,4.8965842616009825
PROKKA_04556,38.88830753626225,418.28870452531976,8.552562010426906,50.56475182575619
PROKKA_04557,11.10531461022286,25.867597260399986,1.2346218125288182,15.70053949128368
PROKKA_04559,6.227877168463411,68.93917852749672,2.6157740499001894,6.552854235022994
PROKKA_04560,8.833882672594141,19.766017027092683,4.538262523622574,12.567666589136493
PROKKA_04561,5.227326174559067,11.7413608863216,3.438530048051753,8.948002756057353
PROKKA_04562,5.062719029825928,10.21509550067846,2.211522851779407,7.771015296424463
PROKKA_04563,6.509094336800698,14.730332840246218,3.0406652267193266,13.669399375759365
PROKKA_04564,0.01294425497164313,0.07323337711642133,0.0,0.0
PROKKA_04565,0.06243160711559009,0.3249558389312148,0.308170145815959,3.5270669493980438
PROKKA_04566,4.830410837087481,10.198685876970186,5.831292279836527,27.14711375893943
PROKKA_04567,0.8734897851890688,1.060690426227057,1.0516228718387655,9.079810035147746
PROKKA_04568,3.4196443890644073,5.643401757352174,2.383358810130292,4.278902393547268
PROKKA_04569,25.760566452509558,19.436057514591106,609.8460590002375,168.02888708468717
PROKKA_04570,11.088393903947804,22.123266494298807,20.052735981161625,26.146090896175433
PROKKA_04571,103.68335001361133,134.07676470160726,103.7299660833057,91.80514952517885
