K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b1632,875.0,1360.0,1999.0,296.0,1809.0,4110.0,4736.0,1174.0,6937.0,10034.0,949.0,860.0
b3187,4685.0,990.0,9026.0,438.0,2142.0,11857.0,7605.0,1601.0,9603.0,6470.0,880.0,2181.0
b1864,9739.0,5595.0,23055.0,2377.0,10972.0,58938.0,25955.0,8212.0,53927.0,32852.0,4575.0,10095.0
b0590,785.0,144.0,268.0,107.0,373.0,242.0,796.0,162.0,139.0,884.0,130.0,261.0
b2290,5201.0,2879.0,9083.0,901.0,3006.0,19675.0,17702.0,2453.0,23445.0,18558.0,1563.0,3423.0
b4461,1710.0,725.0,2653.0,202.0,1087.0,4688.0,4277.0,338.0,4759.0,6957.0,533.0,812.0
b4079,509.0,79.0,606.0,424.0,149.0,721.0,712.0,891.0,269.0,486.0,58.0,1968.0
b1728,482.0,118.0,343.0,127.0,360.0,540.0,639.0,351.0,801.0,763.0,124.0,447.0
b2516,9254.0,2183.0,12213.0,743.0,3876.0,15415.0,18964.0,1607.0,13737.0,16181.0,1782.0,2965.0
b2609,4657.0,24650.0,54957.0,3870.0,56607.0,216374.0,24432.0,18539.0,195458.0,36798.0,28255.0,28150.0
b2024,3193.0,186.0,1703.0,160.0,404.0,2877.0,2963.0,444.0,2090.0,2097.0,319.0,577.0
b2498,877.0,2054.0,29650.0,708.0,6447.0,26262.0,1984.0,2550.0,27240.0,1847.0,4127.0,4212.0
b2316,5122.0,2025.0,16078.0,781.0,3145.0,16137.0,6448.0,1631.0,18446.0,9237.0,2279.0,2980.0
b2922,13234.0,676.0,37243.0,312.0,1209.0,27981.0,34308.0,1911.0,20883.0,23967.0,340.0,2252.0
b3157,6212.0,1002.0,7919.0,555.0,1062.0,10689.0,8959.0,1680.0,7619.0,6744.0,455.0,3156.0
b4012,1353.0,56.0,1040.0,85.0,99.0,235.0,513.0,86.0,496.0,756.0,31.0,204.0
b3608,5946.0,1076.0,14719.0,719.0,2992.0,22892.0,24574.0,2101.0,13119.0,21123.0,1045.0,3464.0
b1216,3804.0,1651.0,1294.0,363.0,1778.0,2864.0,1808.0,620.0,2069.0,1234.0,352.0,607.0
b1860,3169.0,477.0,3323.0,428.0,1085.0,3558.0,5766.0,817.0,4025.0,5461.0,468.0,1208.0
b0108,26.0,1.0,10.0,3.0,18.0,75.0,85.0,28.0,49.0,60.0,2.0,19.0
b1878,190.0,14.0,104.0,30.0,8.0,167.0,246.0,32.0,76.0,173.0,12.0,35.0
b3739,3168.0,2578.0,14044.0,843.0,5812.0,10636.0,4839.0,2659.0,5700.0,3843.0,1710.0,1698.0
b3555,13949.0,197.0,12898.0,70.0,199.0,4945.0,80429.0,967.0,1507.0,7974.0,53.0,139.0
b4055,1550.0,189.0,1707.0,231.0,193.0,2400.0,2115.0,1083.0,1294.0,2633.0,64.0,1178.0
b0614,1.0,3.0,18.0,115.0,3.0,6.0,18.0,451.0,2.0,13.0,3.0,237.0
b2251,788.0,98.0,1000.0,70.0,109.0,1678.0,5802.0,449.0,1990.0,7769.0,66.0,493.0
b0127,7253.0,1343.0,5287.0,609.0,2788.0,8150.0,12818.0,1673.0,7138.0,11254.0,901.0,2066.0
b2248,49.0,4.0,82.0,10.0,4.0,81.0,217.0,44.0,60.0,216.0,4.0,76.0
b4382,8879.0,311.0,15347.0,790.0,500.0,11315.0,42275.0,2274.0,5347.0,17512.0,256.0,7928.0
b4259,5298.0,495.0,6274.0,623.0,1549.0,6195.0,8674.0,2206.0,4855.0,6571.0,410.0,2189.0
b4335,414.0,37.0,927.0,68.0,52.0,395.0,771.0,173.0,235.0,169.0,8.0,230.0
b2536,340.0,141.0,514.0,87.0,287.0,1102.0,574.0,158.0,796.0,614.0,134.0,199.0
b1711,1701.0,335.0,2846.0,236.0,499.0,2602.0,3208.0,338.0,3127.0,4950.0,373.0,920.0
b0132,3988.0,162.0,3039.0,237.0,812.0,3650.0,5342.0,261.0,1043.0,2504.0,219.0,627.0
b0090,6177.0,1177.0,6343.0,692.0,2616.0,9526.0,9101.0,1670.0,6397.0,9264.0,941.0,1837.0
b3329,33.0,14.0,90.0,60.0,20.0,139.0,137.0,104.0,94.0,265.0,8.0,253.0
b2177,2113.0,417.0,2102.0,132.0,475.0,2826.0,5718.0,682.0,2013.0,4327.0,281.0,458.0
b1819,12328.0,3608.0,11821.0,1412.0,1835.0,40902.0,28996.0,4955.0,58450.0,31425.0,2452.0,10887.0
b1194,1272.0,46.0,9332.0,11.0,8.0,5224.0,1341.0,19.0,101.0,66.0,6.0,13.0
b4255,15797.0,4695.0,42251.0,778.0,11450.0,33588.0,35318.0,806.0,42035.0,34020.0,5151.0,6565.0
b1804,2187.0,1125.0,3339.0,288.0,2503.0,6671.0,4339.0,968.0,5240.0,4735.0,1120.0,1189.0
b3921,1020.0,215.0,1102.0,65.0,360.0,1858.0,2212.0,370.0,1679.0,1594.0,236.0,284.0
b3290,2353.0,1122.0,5363.0,357.0,1395.0,6061.0,5113.0,608.0,4107.0,3235.0,643.0,838.0
b0710,11601.0,604.0,13361.0,363.0,639.0,14474.0,24356.0,1936.0,13946.0,17263.0,299.0,1955.0
b0411,3964.0,1970.0,8309.0,799.0,4345.0,31452.0,3971.0,2983.0,13673.0,4034.0,3167.0,7836.0
b1845,3409.0,260.0,3124.0,335.0,522.0,4130.0,9125.0,730.0,1450.0,3362.0,115.0,607.0
b4159,1257.0,348.0,3051.0,397.0,1655.0,5118.0,4344.0,864.0,5053.0,5240.0,551.0,1455.0
b4311,1123.0,56.0,616.0,120.0,53.0,517.0,2564.0,732.0,318.0,403.0,12.0,159.0
b1071,3500.0,111.0,17637.0,53.0,31.0,10699.0,3770.0,113.0,1701.0,1213.0,46.0,70.0
b0859,1355.0,565.0,2338.0,356.0,1397.0,2940.0,2045.0,804.0,2172.0,1622.0,528.0,728.0
b2293,4423.0,409.0,3641.0,372.0,564.0,3865.0,4245.0,1063.0,3348.0,4352.0,316.0,1026.0
b2252,122.0,88.0,241.0,24.0,47.0,1562.0,177.0,65.0,558.0,88.0,15.0,41.0
b3935,557.0,491.0,2760.0,342.0,1264.0,3208.0,1900.0,856.0,2683.0,2320.0,451.0,821.0
b2949,585.0,454.0,474.0,70.0,801.0,660.0,956.0,173.0,612.0,1346.0,351.0,238.0
b0970,5681.0,1989.0,3422.0,328.0,1912.0,4625.0,2206.0,502.0,5007.0,1544.0,656.0,1076.0
b3676,450.0,57.0,1033.0,26.0,73.0,621.0,1471.0,131.0,625.0,1254.0,53.0,101.0
b0071,89373.0,282.0,479.0,146.0,219.0,703.0,46311.0,252.0,322.0,1492.0,252.0,192.0
b3508,4298.0,52.0,8033.0,240.0,58.0,755.0,105134.0,798.0,163.0,12206.0,16.0,179.0
b0643,30074.0,1133.0,25089.0,393.0,365.0,5165.0,31414.0,1405.0,4026.0,13975.0,318.0,2001.0
b0857,1152.0,50.0,476.0,29.0,65.0,1002.0,9995.0,275.0,737.0,4390.0,134.0,183.0
b4005,558.0,220.0,4181.0,416.0,614.0,5360.0,5866.0,1571.0,5569.0,14882.0,374.0,3841.0
b3888,2677.0,391.0,5359.0,169.0,361.0,4178.0,6514.0,665.0,2450.0,5027.0,200.0,622.0
b2086,7128.0,94.0,16187.0,79.0,40.0,2332.0,11567.0,318.0,2528.0,13284.0,25.0,219.0
b2524,2702.0,478.0,10500.0,178.0,702.0,4812.0,1828.0,197.0,6272.0,4578.0,288.0,582.0
b3620,2358.0,682.0,6237.0,358.0,2148.0,8004.0,5522.0,938.0,7488.0,5849.0,655.0,1336.0
b1244,1800.0,382.0,5962.0,633.0,394.0,10603.0,2486.0,2377.0,4414.0,2641.0,217.0,466.0
b3567,20350.0,145.0,740.0,232.0,50.0,227.0,122954.0,782.0,218.0,144819.0,29.0,582.0
b2660,7701.0,41.0,10498.0,35.0,73.0,1790.0,36613.0,175.0,487.0,12853.0,20.0,57.0
b3368,1006.0,197.0,2041.0,308.0,355.0,2917.0,1677.0,585.0,1909.0,1472.0,290.0,830.0
b2256,2938.0,73.0,3485.0,76.0,100.0,6708.0,6307.0,482.0,3886.0,2479.0,38.0,150.0
b4217,3060.0,45.0,7370.0,50.0,55.0,1003.0,648.0,133.0,470.0,422.0,14.0,287.0
b2215,286959.0,24578.0,493007.0,11778.0,58786.0,961126.0,484459.0,39058.0,152160.0,656957.0,6956.0,48958.0
b3077,54.0,159.0,87.0,48.0,111.0,89.0,61.0,78.0,57.0,91.0,36.0,74.0
b1439,1369.0,242.0,2091.0,47.0,477.0,3804.0,8697.0,569.0,4069.0,5294.0,353.0,325.0
b4095,64.0,1.0,82.0,10.0,9.0,109.0,182.0,42.0,61.0,128.0,2.0,15.0
b1822,378.0,372.0,736.0,114.0,690.0,1888.0,1501.0,429.0,1016.0,1056.0,288.0,215.0
b3382,260.0,52.0,450.0,20.0,29.0,204.0,373.0,50.0,233.0,491.0,22.0,121.0
b4193,237.0,24.0,585.0,815.0,32.0,261.0,247.0,982.0,267.0,263.0,6.0,4373.0
b2216,18280.0,3720.0,21801.0,1709.0,6401.0,28440.0,35169.0,4726.0,21426.0,35526.0,2395.0,4662.0
b2689,7540.0,1704.0,10704.0,370.0,2663.0,12206.0,10965.0,1753.0,7744.0,10447.0,1280.0,1577.0
b2188,3541.0,1439.0,4178.0,574.0,2739.0,5900.0,7577.0,1512.0,5999.0,10363.0,1406.0,1733.0
b1662,9773.0,995.0,11888.0,502.0,1189.0,17028.0,14890.0,2295.0,14827.0,17957.0,721.0,2513.0
b3928,13861.0,2110.0,20085.0,859.0,4466.0,45282.0,22278.0,5634.0,58979.0,35578.0,2117.0,5951.0
b2801,652.0,56.0,118.0,201.0,29.0,105.0,1055.0,338.0,84.0,1721.0,1.0,516.0
b1212,446.0,357.0,571.0,256.0,1063.0,1367.0,1357.0,338.0,1320.0,1955.0,465.0,392.0
b0962,5208.0,732.0,7647.0,467.0,1009.0,8159.0,9327.0,682.0,7319.0,8735.0,510.0,1597.0
b2010,821.0,97.0,440.0,75.0,433.0,740.0,1646.0,214.0,415.0,641.0,20.0,184.0
b2808,1385.0,389.0,1202.0,159.0,744.0,1538.0,1651.0,416.0,1770.0,1952.0,333.0,438.0
b4181,159.0,44.0,249.0,42.0,46.0,514.0,209.0,75.0,326.0,308.0,20.0,117.0
b3581,44.0,1.0,108.0,9.0,6.0,149.0,123.0,20.0,73.0,117.0,0.0,23.0
b1706,10022.0,531.0,4888.0,208.0,554.0,6211.0,28512.0,461.0,4587.0,19868.0,287.0,497.0
b2417,64723.0,9675.0,81617.0,3004.0,12335.0,76995.0,116396.0,18684.0,90336.0,88088.0,7959.0,18311.0
b0654,1366.0,60.0,744.0,52.0,66.0,808.0,4508.0,197.0,435.0,6691.0,112.0,129.0
b2961,2781.0,451.0,7340.0,196.0,1259.0,12407.0,6503.0,991.0,9844.0,5673.0,620.0,1344.0
b4045,3641.0,59.0,6630.0,140.0,100.0,876.0,3906.0,592.0,347.0,1024.0,31.0,195.0
b3958,587.0,337.0,336.0,167.0,425.0,603.0,941.0,4807.0,517.0,4505.0,278.0,778.0
b0471,8297.0,2454.0,24431.0,1291.0,5332.0,49067.0,29325.0,3043.0,40287.0,33487.0,1981.0,4789.0
b1806,2410.0,1225.0,2147.0,370.0,1711.0,3478.0,6130.0,786.0,3166.0,4132.0,938.0,1479.0
b3434,871.0,124.0,1127.0,102.0,256.0,1477.0,1224.0,413.0,1159.0,872.0,112.0,446.0
b1477,268.0,27.0,210.0,13.0,70.0,594.0,758.0,186.0,157.0,222.0,17.0,51.0
b0850,1483.0,199.0,2284.0,267.0,919.0,6711.0,6226.0,2121.0,7690.0,6214.0,266.0,1840.0
b3381,63.0,9.0,130.0,16.0,13.0,96.0,114.0,16.0,110.0,266.0,3.0,62.0
b3012,6506.0,117.0,6933.0,158.0,265.0,5080.0,37717.0,2086.0,1339.0,5400.0,37.0,336.0
b0151,2309.0,1147.0,1432.0,319.0,1996.0,3155.0,10067.0,1439.0,1938.0,9001.0,460.0,1169.0
b1376,11067.0,581.0,36052.0,902.0,113.0,10835.0,14398.0,6237.0,7572.0,9187.0,53.0,5813.0
b4212,394.0,33.0,286.0,44.0,105.0,551.0,624.0,95.0,393.0,584.0,38.0,128.0
b4407,38.0,12.0,29.0,12.0,12.0,52.0,57.0,18.0,31.0,37.0,4.0,14.0
b0595,5881.0,4577.0,1104.0,1250.0,1869.0,925.0,13248.0,3525.0,599.0,16771.0,1105.0,3459.0
b1849,200.0,81.0,1050.0,159.0,311.0,1236.0,2548.0,624.0,3053.0,7554.0,193.0,2088.0
b1440,4812.0,40.0,5833.0,61.0,49.0,996.0,10281.0,179.0,173.0,1460.0,9.0,70.0
b3239,11841.0,127.0,7352.0,173.0,82.0,1215.0,11726.0,400.0,602.0,4336.0,33.0,235.0
b3789,1177.0,555.0,3429.0,277.0,818.0,4330.0,2442.0,483.0,3342.0,2481.0,325.0,761.0
b0819,5507.0,1115.0,9649.0,499.0,1596.0,10469.0,7806.0,1633.0,8451.0,7559.0,1020.0,1595.0
b4096,45.0,6.0,73.0,6.0,6.0,37.0,70.0,12.0,16.0,28.0,1.0,9.0
b2410,2480.0,445.0,4348.0,137.0,346.0,4363.0,3160.0,380.0,3646.0,2504.0,159.0,449.0
b2452,148.0,10.0,215.0,74.0,9.0,80.0,126.0,123.0,55.0,99.0,4.0,272.0
b3825,2386.0,569.0,4864.0,267.0,1062.0,4187.0,5505.0,925.0,3592.0,5059.0,593.0,1071.0
b2313,949.0,428.0,4896.0,475.0,909.0,2296.0,1896.0,736.0,2668.0,4275.0,491.0,2016.0
b1245,1339.0,271.0,4117.0,525.0,360.0,9191.0,1873.0,1354.0,3104.0,1664.0,197.0,395.0
b2578,279.0,18.0,191.0,18.0,12.0,110.0,325.0,25.0,140.0,311.0,19.0,80.0
b1866,11515.0,4560.0,24124.0,2316.0,12234.0,54422.0,25678.0,8390.0,50218.0,33903.0,4739.0,9740.0
b3451,2110.0,49.0,4613.0,19.0,51.0,2172.0,4349.0,116.0,541.0,1589.0,46.0,69.0
b4144,6316.0,604.0,9471.0,356.0,552.0,10033.0,8323.0,602.0,9315.0,12973.0,412.0,1757.0
b2085,71.0,8.0,69.0,22.0,22.0,50.0,160.0,31.0,23.0,32.0,9.0,14.0
b2193,514.0,283.0,2136.0,135.0,698.0,3389.0,1180.0,876.0,1315.0,326.0,407.0,630.0
b2144,862.0,264.0,759.0,70.0,461.0,1356.0,1320.0,242.0,1258.0,1149.0,318.0,378.0
b0610,488.0,170.0,1756.0,32.0,467.0,1821.0,1004.0,120.0,1620.0,1373.0,235.0,213.0
b3730,7573.0,1400.0,23612.0,604.0,3180.0,38701.0,10007.0,1623.0,27769.0,13042.0,1710.0,4805.0
b2259,1369.0,291.0,1287.0,225.0,613.0,2405.0,2640.0,536.0,1837.0,2233.0,72.0,728.0
b2937,1155.0,1349.0,6959.0,293.0,4003.0,18997.0,4921.0,995.0,12802.0,2103.0,1743.0,1150.0
b4081,118.0,27.0,161.0,21.0,20.0,84.0,156.0,35.0,79.0,106.0,9.0,76.0
b1533,4089.0,183.0,2865.0,79.0,140.0,1596.0,6095.0,239.0,721.0,3134.0,98.0,132.0
b0949,5590.0,3244.0,16466.0,1462.0,4839.0,18927.0,5727.0,2073.0,13570.0,6713.0,2345.0,3204.0
b0149,5643.0,1985.0,20108.0,823.0,2972.0,21971.0,12319.0,2213.0,19528.0,15534.0,1709.0,3532.0
b3954,573.0,103.0,783.0,76.0,115.0,1345.0,1474.0,272.0,1270.0,1180.0,62.0,185.0
b3477,11.0,20.0,45.0,37.0,32.0,204.0,67.0,57.0,209.0,54.0,10.0,210.0
b2910,26226.0,2126.0,18516.0,1047.0,5121.0,12755.0,33294.0,5682.0,11077.0,24595.0,2094.0,6456.0
b1473,702.0,147.0,819.0,59.0,79.0,441.0,497.0,158.0,232.0,258.0,32.0,94.0
b0188,1462.0,210.0,3034.0,191.0,164.0,1334.0,1036.0,148.0,2066.0,2716.0,214.0,577.0
b2737,75799.0,545.0,3153.0,396.0,168.0,858.0,1423.0,719.0,920.0,1598.0,48.0,934.0
b1043,117.0,6.0,115.0,6.0,12.0,549.0,151.0,43.0,167.0,182.0,10.0,32.0
b1620,1161.0,99.0,658.0,96.0,159.0,1724.0,2117.0,260.0,2419.0,3174.0,86.0,486.0
b2151,1472.0,160.0,991.0,147.0,80.0,760.0,3018.0,291.0,141.0,1216.0,24.0,285.0
b2312,1216.0,706.0,10431.0,740.0,1778.0,9997.0,5932.0,1769.0,11467.0,15715.0,866.0,4079.0
b3764,2907.0,425.0,13615.0,178.0,537.0,7881.0,1143.0,677.0,6306.0,1487.0,516.0,888.0
b2794,2887.0,678.0,9810.0,330.0,1593.0,12769.0,8720.0,1496.0,13180.0,8366.0,657.0,1780.0
b0381,4273.0,1857.0,17829.0,527.0,4275.0,57197.0,21955.0,3463.0,56040.0,30312.0,1753.0,5603.0
b3175,6215.0,4131.0,19837.0,1220.0,8300.0,18319.0,11351.0,3921.0,13742.0,11832.0,8415.0,5332.0
b3406,969.0,277.0,1610.0,133.0,650.0,3557.0,2409.0,763.0,2860.0,2233.0,236.0,563.0
b0238,820.0,2097.0,9982.0,270.0,3958.0,10998.0,1402.0,943.0,11438.0,1549.0,2735.0,1651.0
b1446,19920.0,2947.0,19034.0,815.0,2031.0,21276.0,16375.0,6544.0,30743.0,24274.0,1669.0,4759.0
b0147,440.0,117.0,655.0,44.0,276.0,2581.0,1754.0,275.0,1864.0,1983.0,138.0,263.0
b3469,4220.0,239.0,2378.0,496.0,580.0,4852.0,1449.0,1007.0,3849.0,4729.0,426.0,2809.0
b2925,21999.0,14655.0,116290.0,4800.0,21453.0,118509.0,95570.0,18221.0,66415.0,50897.0,7495.0,17125.0
b2329,2106.0,492.0,4184.0,359.0,2002.0,12849.0,11489.0,2162.0,6181.0,7380.0,703.0,985.0
b4481,1048.0,249.0,2468.0,172.0,141.0,901.0,611.0,114.0,1516.0,1494.0,130.0,365.0
b1874,4371.0,690.0,1943.0,200.0,792.0,5220.0,9133.0,1292.0,6708.0,10287.0,437.0,1284.0
b1184,970.0,154.0,775.0,203.0,310.0,637.0,1448.0,231.0,443.0,973.0,86.0,336.0
b2212,501.0,24.0,423.0,24.0,51.0,239.0,882.0,83.0,63.0,209.0,9.0,46.0
b2683,1198.0,417.0,622.0,183.0,1599.0,1190.0,1476.0,466.0,1455.0,3199.0,479.0,714.0
b4069,23810.0,196.0,30302.0,244.0,165.0,11947.0,92855.0,1276.0,2294.0,36584.0,33.0,464.0
b3887,3787.0,224.0,5832.0,195.0,202.0,4218.0,6808.0,599.0,1953.0,3462.0,122.0,490.0
b3769,31620.0,738.0,860.0,145.0,511.0,3085.0,49544.0,408.0,1411.0,10155.0,312.0,620.0
b0858,1008.0,120.0,1020.0,56.0,326.0,917.0,2025.0,329.0,1121.0,1720.0,145.0,326.0
b2079,4096.0,470.0,4930.0,245.0,759.0,3623.0,6454.0,801.0,3137.0,5297.0,430.0,869.0
b2478,21436.0,4523.0,35793.0,1673.0,5639.0,49922.0,46205.0,5819.0,49752.0,58386.0,4256.0,9439.0
b0724,15582.0,440.0,81918.0,236.0,140.0,36185.0,11627.0,783.0,33469.0,22142.0,222.0,1337.0
b4386,1588.0,212.0,2951.0,179.0,653.0,5486.0,4070.0,484.0,4034.0,3652.0,240.0,705.0
b0104,1593.0,550.0,17935.0,484.0,1118.0,35967.0,11636.0,1551.0,24579.0,11021.0,559.0,1592.0
b4150,588.0,175.0,3213.0,80.0,288.0,1693.0,662.0,177.0,1389.0,810.0,141.0,362.0
b3395,36.0,7.0,129.0,28.0,9.0,137.0,131.0,37.0,124.0,153.0,6.0,74.0
b1060,5812.0,1247.0,3785.0,454.0,592.0,5010.0,3408.0,1581.0,1674.0,1492.0,173.0,1630.0
b3308,23282.0,29435.0,145025.0,17478.0,71676.0,423062.0,59567.0,22053.0,322918.0,81032.0,23665.0,73895.0
b3330,25.0,9.0,58.0,60.0,25.0,61.0,53.0,56.0,97.0,190.0,18.0,156.0
b3952,1260.0,41.0,552.0,61.0,66.0,411.0,4702.0,132.0,225.0,704.0,26.0,242.0
b0115,14037.0,8898.0,34258.0,9595.0,51256.0,110607.0,58391.0,16877.0,66883.0,53926.0,6481.0,37055.0
b2594,6334.0,2142.0,12052.0,566.0,5468.0,11318.0,19972.0,3398.0,8825.0,14602.0,1651.0,2368.0
b0026,19317.0,6718.0,41289.0,3205.0,10598.0,85306.0,42050.0,7312.0,74537.0,63677.0,4885.0,14113.0
b2249,3117.0,537.0,3662.0,207.0,648.0,6375.0,10250.0,1082.0,3595.0,7621.0,332.0,1113.0
b2314,2064.0,381.0,6007.0,235.0,624.0,3575.0,1852.0,220.0,5560.0,5930.0,776.0,2047.0
b2912,668.0,383.0,864.0,364.0,232.0,814.0,1031.0,240.0,486.0,790.0,93.0,281.0
b3746,2806.0,316.0,5597.0,304.0,481.0,7126.0,7131.0,1681.0,5419.0,6228.0,283.0,1428.0
b4334,431.0,137.0,731.0,41.0,10.0,108.0,159.0,34.0,41.0,57.0,3.0,63.0
b0776,65.0,15.0,67.0,34.0,35.0,84.0,67.0,27.0,102.0,100.0,288.0,75.0
b3054,2922.0,199.0,4622.0,194.0,408.0,5807.0,4840.0,744.0,3466.0,3790.0,209.0,907.0
b3306,15245.0,30067.0,97493.0,10704.0,70485.0,363397.0,53596.0,28319.0,324421.0,83792.0,24121.0,56922.0
b2131,7201.0,55.0,9460.0,81.0,136.0,2488.0,14256.0,442.0,715.0,4387.0,23.0,151.0
b1726,7120.0,472.0,5109.0,324.0,908.0,7752.0,15862.0,1901.0,6982.0,11915.0,322.0,1317.0
b3392,171.0,35.0,219.0,77.0,32.0,207.0,237.0,69.0,191.0,523.0,18.0,176.0
b0715,136.0,11.0,83.0,54.0,18.0,507.0,137.0,89.0,453.0,168.0,9.0,146.0
b1627,588.0,232.0,501.0,159.0,640.0,509.0,962.0,214.0,423.0,820.0,338.0,266.0
b0571,296.0,61.0,854.0,42.0,132.0,457.0,327.0,116.0,243.0,271.0,70.0,107.0
b1635,3160.0,449.0,7230.0,178.0,2211.0,42281.0,142679.0,8023.0,36437.0,124611.0,1673.0,8264.0
b1745,3793.0,17.0,20591.0,64.0,24.0,2111.0,5676.0,103.0,462.0,2720.0,7.0,49.0
b3158,45.0,11.0,333.0,195.0,123.0,1542.0,114.0,435.0,1191.0,70.0,31.0,866.0
b3787,1667.0,763.0,5056.0,397.0,1464.0,6881.0,3022.0,683.0,5627.0,4164.0,638.0,1333.0
b0591,1118.0,547.0,662.0,155.0,496.0,472.0,1624.0,406.0,859.0,4785.0,467.0,1137.0
b0167,3726.0,617.0,5216.0,243.0,1046.0,7558.0,9885.0,1053.0,5595.0,8675.0,496.0,1043.0
b0630,1780.0,510.0,4195.0,279.0,1225.0,4484.0,6347.0,1781.0,8361.0,13755.0,733.0,1948.0
b1592,518.0,107.0,554.0,71.0,162.0,292.0,428.0,101.0,299.0,618.0,68.0,189.0
b0469,760.0,758.0,1765.0,260.0,2099.0,2339.0,994.0,501.0,1682.0,841.0,919.0,686.0
b2311,501.0,262.0,984.0,135.0,425.0,1260.0,1384.0,373.0,229.0,233.0,63.0,107.0
b0589,1474.0,360.0,758.0,181.0,475.0,822.0,3126.0,456.0,454.0,3494.0,152.0,405.0
b1418,2580.0,626.0,4049.0,185.0,744.0,6778.0,5498.0,1148.0,4037.0,3363.0,305.0,484.0
b2422,284.0,38.0,3818.0,52.0,98.0,26898.0,832.0,147.0,25048.0,667.0,40.0,394.0
b3503,534.0,60.0,386.0,19.0,183.0,1047.0,2207.0,198.0,600.0,1052.0,73.0,139.0
b3234,3418.0,225.0,6612.0,224.0,234.0,3376.0,4043.0,288.0,3056.0,2101.0,145.0,709.0
b2235,3220.0,3167.0,16944.0,784.0,9749.0,30650.0,10941.0,1894.0,35320.0,20698.0,2748.0,4395.0
b1861,3433.0,665.0,4273.0,476.0,1818.0,7311.0,10689.0,508.0,8354.0,11601.0,697.0,2227.0
b4011,19.0,93.0,264.0,24.0,261.0,335.0,59.0,70.0,317.0,96.0,57.0,150.0
b3499,746.0,307.0,1571.0,90.0,1200.0,3007.0,2067.0,309.0,2367.0,1802.0,463.0,482.0
b4539,1999.0,222.0,1838.0,152.0,489.0,4928.0,4193.0,853.0,1631.0,2103.0,226.0,370.0
b2545,1174.0,93.0,1592.0,112.0,42.0,416.0,586.0,74.0,1019.0,2131.0,93.0,380.0
b4042,742.0,181.0,1296.0,75.0,286.0,1524.0,1046.0,221.0,1715.0,1214.0,245.0,301.0
b2169,1351.0,496.0,1410.0,1112.0,774.0,196.0,1465.0,1276.0,400.0,837.0,1257.0,1875.0
b1754,911.0,119.0,1903.0,94.0,137.0,2133.0,2145.0,343.0,1701.0,2440.0,114.0,294.0
b0030,986.0,317.0,1976.0,166.0,590.0,5486.0,3748.0,830.0,1361.0,3156.0,110.0,664.0
b1274,14094.0,7933.0,48570.0,2494.0,14631.0,64846.0,38302.0,11503.0,43943.0,40683.0,5524.0,9890.0
b3177,1708.0,651.0,4511.0,231.0,1308.0,7666.0,3345.0,722.0,9619.0,6657.0,611.0,1388.0
b2564,5040.0,740.0,9178.0,535.0,888.0,14740.0,11386.0,1869.0,12256.0,13724.0,587.0,2720.0
b4184,20.0,10.0,34.0,7.0,11.0,73.0,57.0,37.0,52.0,89.0,4.0,34.0
b1844,3251.0,255.0,2563.0,205.0,324.0,1799.0,5845.0,728.0,1436.0,4438.0,219.0,787.0
b0969,952.0,346.0,2006.0,202.0,580.0,1006.0,777.0,409.0,3077.0,2982.0,251.0,1127.0
b4551,2225.0,108.0,2076.0,67.0,107.0,3877.0,7340.0,120.0,1168.0,2792.0,47.0,177.0
b1234,6133.0,556.0,4215.0,149.0,782.0,2548.0,9967.0,406.0,1805.0,6721.0,397.0,288.0
b1079,169.0,104.0,460.0,21.0,15.0,2688.0,209.0,33.0,1351.0,99.0,17.0,56.0
b1782,2083.0,3587.0,28624.0,1135.0,15044.0,66627.0,18433.0,13316.0,92633.0,34769.0,4913.0,9533.0
b2112,1273.0,16.0,903.0,18.0,21.0,635.0,6604.0,289.0,97.0,637.0,11.0,52.0
b4058,4687.0,1194.0,15986.0,1332.0,3422.0,19395.0,21466.0,2493.0,15133.0,17376.0,1399.0,3484.0
b4059,9720.0,1215.0,13865.0,493.0,5744.0,18938.0,18966.0,4852.0,33700.0,29292.0,2742.0,5669.0
b2094,44.0,3.0,78.0,2.0,3.0,20.0,129.0,11.0,25.0,1153.0,2.0,44.0
b4602,143.0,19.0,50.0,33.0,39.0,102.0,271.0,226.0,98.0,188.0,21.0,78.0
b3920,2030.0,868.0,1768.0,190.0,1859.0,5686.0,6940.0,1415.0,5691.0,6038.0,645.0,1011.0
b1840,1427.0,246.0,1530.0,122.0,1117.0,10913.0,8902.0,1333.0,986.0,1362.0,214.0,277.0
b3912,5146.0,944.0,6646.0,430.0,1767.0,14069.0,11294.0,1714.0,10394.0,7785.0,517.0,2152.0
b4162,1321.0,265.0,3526.0,103.0,794.0,5999.0,3383.0,466.0,3683.0,2586.0,294.0,652.0
b4328,464.0,405.0,2399.0,199.0,598.0,4219.0,813.0,452.0,5608.0,1872.0,404.0,881.0
b3090,238.0,26.0,294.0,47.0,24.0,301.0,745.0,145.0,219.0,808.0,13.0,77.0
b3345,1818.0,254.0,2612.0,161.0,396.0,3025.0,4899.0,652.0,2190.0,5175.0,242.0,867.0
b2604,2229.0,272.0,3678.0,203.0,403.0,2617.0,4974.0,597.0,2289.0,6327.0,171.0,502.0
