K-12,HM43_UR,HM43_UTI,HM43_LB,HM43_mouse,HM56_UTI,HM56_LB,HM56_UR,HM56_mouse,HM86_LB,HM86_UR,HM86_UTI,HM86_mouse
b3351,1937.0,72.0,1266.0,71.0,60.0,1982.0,2903.0,156.0,1731.0,2867.0,50.0,201.0
b1508,1194.0,136.0,1090.0,143.0,405.0,2314.0,1665.0,609.0,1527.0,1174.0,81.0,595.0
b3647,899.0,173.0,945.0,92.0,230.0,1014.0,1555.0,202.0,667.0,1309.0,121.0,280.0
b2551,17962.0,2449.0,87463.0,2047.0,3427.0,54586.0,54877.0,4419.0,43615.0,74221.0,2046.0,10043.0
b3237,3649.0,785.0,8770.0,467.0,1490.0,10061.0,6051.0,1417.0,9698.0,7241.0,722.0,2169.0
b3492,958.0,412.0,2079.0,294.0,1957.0,4847.0,1235.0,812.0,3540.0,990.0,773.0,1025.0
b2927,10926.0,2977.0,23212.0,1712.0,4427.0,25221.0,17646.0,6037.0,19553.0,14242.0,2017.0,6849.0
b3670,4917.0,24.0,77.0,21.0,12.0,132.0,7253.0,113.0,486.0,1417.0,14.0,128.0
b0977,374.0,32.0,1089.0,66.0,42.0,210.0,808.0,125.0,212.0,564.0,28.0,263.0
b1883,13175.0,331.0,53821.0,58.0,56.0,24230.0,7693.0,55.0,969.0,879.0,39.0,72.0
b2382,838.0,123.0,657.0,54.0,184.0,401.0,959.0,102.0,414.0,1166.0,123.0,205.0
b3530,7009.0,727.0,16615.0,324.0,2004.0,32494.0,39804.0,1901.0,2189.0,3222.0,174.0,534.0
b2992,429.0,85.0,929.0,166.0,187.0,1065.0,921.0,563.0,912.0,569.0,99.0,915.0
b4033,434.0,295.0,3365.0,184.0,83.0,824.0,1635.0,514.0,2753.0,1893.0,35.0,1014.0
b2017,5151.0,970.0,4694.0,348.0,1215.0,17587.0,14280.0,2486.0,6380.0,7715.0,593.0,980.0
b1707,1285.0,154.0,1805.0,76.0,223.0,2135.0,2914.0,343.0,1362.0,3215.0,91.0,322.0
b1983,6426.0,5833.0,21150.0,1973.0,12388.0,40376.0,22259.0,10967.0,39332.0,24602.0,4548.0,7833.0
b2506,311.0,33.0,224.0,61.0,25.0,678.0,720.0,60.0,674.0,436.0,15.0,139.0
b1283,16175.0,447.0,10025.0,433.0,202.0,2855.0,27831.0,2226.0,1310.0,5670.0,84.0,1680.0
b4183,95.0,31.0,153.0,23.0,52.0,174.0,124.0,68.0,35.0,61.0,15.0,37.0
b3556,3228.0,14857.0,263.0,922.0,30052.0,1212.0,1993.0,941.0,1323.0,14402.0,16627.0,2275.0
