,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3236,46353.8365645095,-1.29118062166681,0.490461087684001,-0.593687509526573,0.552721138719249,1
b2282,3684.72160967027,-1.29193886877744,0.23388814820438,-1.24819864118266,0.211958321460549,1
b2529,9977.80834075621,-1.29417068865001,0.341157282636034,-0.862272926953306,0.388537347050194,1
b3255,26606.578855212,-1.29533790192808,0.620263156526508,-0.476149355028568,0.633967977292935,1
b0898,655.201853460576,-1.29673195598941,0.587118106808609,-0.505404198147378,0.613274970832851,1
b3403,15985.5197981446,-1.29768414296472,0.494488319199394,-0.60200439809517,0.547171209813543,1
b1197,1425.91570701584,-1.30002421009417,0.742775683383744,-0.403923037339339,0.686269315077769,1
b3253,2144.71778170625,-1.30142220397757,0.399610741797246,-0.754289543423992,0.450675379758625,1
b0194,8569.37601520415,-1.30186417461409,0.35907349371841,-0.840675181807822,0.40052992779972,1
b1281,2174.93380846628,-1.31025149377102,0.282767746370538,-1.09719548199274,0.272555947758846,1
b2665,3806.55685547567,-1.31124610885673,0.938375929045718,-0.331685947201626,0.740126413045737,1
b0839,4894.36280099632,-1.31190161247759,0.521920690152319,-0.597603464209402,0.550104552196574,1
b0172,17967.0172293207,-1.31429412542969,0.294190411833853,-1.06833571995266,0.285369101294944,1
b1727,2837.48883402538,-1.31798438299122,0.403983684310545,-0.787121845115862,0.431210542586359,1
b0623,3946.09789056325,-1.31873030569102,0.662371534159809,-0.481195657200636,0.630377447101333,1
b2171,5864.32388507989,-1.32135420437105,0.567532258867786,-0.566230728473739,0.571236943536584,1
b2080,7323.64058173633,-1.32144221738243,0.746463601027789,-0.430620082398981,0.666744636545677,1
b1179,3262.21385657588,-1.32571926112051,0.446769304597309,-0.729054699525727,0.465968203400619,1
b0788,175.438729060018,-1.32603045542386,0.94659732127939,-0.344423598181333,0.730527744491404,1
b3103,3044.39209803981,-1.33025573146975,0.469909394716635,-0.702807254298249,0.482175875765098,1
b3845,451.695729677546,-1.33071004369407,0.512740672281281,-0.644985002306682,0.518936904852061,1
b2672,2421.1256009978,-1.33230234305335,0.645804155824945,-0.514555906858284,0.606863383690041,1
b3713,1753.14644111278,-1.33573422828536,0.611845471326552,-0.54872389192887,0.583194947410702,1
b3610,8080.10943607223,-1.34221282885899,0.394403017345325,-0.867672948250709,0.385573399097313,1
b3997,2892.96650905885,-1.34307430730807,0.604402116697677,-0.567625919615492,0.570289003323347,1
b2277,5602.1995084561,-1.35557548385425,0.304837456608697,-1.16644288995849,0.243435426152023,1
b2989,2764.97671868977,-1.35873470299877,0.578210380169613,-0.620422454009805,0.534979693198809,1
b2988,3802.74487425919,-1.359788954077,0.32862253493296,-1.09483956768331,0.273586928350871,1
b2463,6136.87524871574,-1.36360881848757,0.681468381634659,-0.53356667497231,0.59364136969263,1
b2129,417.156953826044,-1.36435259904134,0.8029235671871,-0.453782419561784,0.649985438361269,1
b1020,4341.59075463103,-1.3717283619589,0.609382243089732,-0.610008522851163,0.541856161793843,1
b1916,1215.28217661322,-1.37546779052764,0.521494283709216,-0.719984479709085,0.471534551494136,1
b0581,1365.44558019769,-1.37823937731685,1.01926122418682,-0.371091696948067,0.710569235093283,1
b2962,2511.14378090685,-1.37957323699118,0.41995053439843,-0.903852253777717,0.366073749629916,1
b1203,10402.4410769247,-1.3809606001037,0.369255617345104,-1.03169886173365,0.302213210826464,1
b3730,6426.92258099607,-1.38411288437881,0.408396949795781,-0.940538083281194,0.346941624649161,1
b1604,4313.83866880355,-1.38738026562217,0.392264029331453,-0.987549804865843,0.3233731796085,1
b1492,18260.2552787311,-1.38740414134889,1.66375725889016,-0.232848956347941,0.815878695899765,1
b3966,11914.1847965273,-1.38951408765546,0.623302328700182,-0.62491999423096,0.532023568951516,1
b3537,184.208428048033,-1.39056123932458,0.599900089358127,-0.651043809215748,0.515018207360337,1
b2284,11319.0032730845,-1.39092422471631,0.277257102034323,-1.40997010301261,0.158548510985844,0.910443644191612
b2418,932.627705980729,-1.39127658869475,0.355291219357284,-1.10128415051339,0.270773007062676,1
b1014,4688.17500599423,-1.39339677765607,0.807694975893363,-0.487061068098078,0.626215054918285,1
b2905,22916.9152776246,-1.40234434459662,0.458599938440929,-0.87733187659039,0.380306403031185,1
b3553,4708.52268535619,-1.40262350558958,0.510359129952982,-0.788902327713183,0.43016909513803,1
b1812,1128.8422482229,-1.40295132195358,0.375798615931193,-1.07225334227244,0.283606257200651,1
b2936,1790.4517508386,-1.40424867912822,0.454232846165045,-0.889959153199011,0.373487819359017,1
b3125,1594.51467877143,-1.40869837924972,0.758108392235216,-0.539102829405047,0.589815903392146,1
b3256,17442.3085936898,-1.40893108850461,0.554326960802398,-0.737707377452235,0.46069228804332,1
b1015,2119.183457674,-1.40942280841512,0.428448071672254,-0.955594937834885,0.33927692001672,1
b4391,10592.1971399857,-1.41078317718025,0.3499582387003,-1.17380627673133,0.240472629321541,1
b3459,550.513604624045,-1.41691462607557,0.569771190710934,-0.73172289661638,0.464337718251263,1
b0436,69901.2467819892,-1.41740572604234,0.635464585753385,-0.656851279206179,0.511276548098207,1
b1276,5220.77290900453,-1.42061215524881,0.668244701393804,-0.629428343197504,0.529068667152023,1
b1282,1441.04499003022,-1.43389775991156,0.374739852773205,-1.15786393334086,0.246919567909017,1
b1004,6148.1247884543,-1.43621573581684,0.773600199585486,-0.563877486136351,0.572837513052652,1
b4544,172.4676549757,-1.4363746309268,0.552666722505412,-0.789580072685721,0.429773049728753,1
b1188,5534.89603202017,-1.44265058367716,0.83100302089421,-0.532670246133212,0.594261866146975,1
b1987,534.356408678948,-1.44373610031433,0.525373860893945,-0.844610159247923,0.398328534949202,1
b2149,5880.53527234245,-1.45892284942933,0.889030778053587,-0.516205806096033,0.605710675561357,1
b2347,438.974418665083,-1.46397648294005,0.789376242720513,-0.58777609184309,0.556682593595027,1
b2464,3264.66170456185,-1.46644160505651,0.805138734600054,-0.579330722783082,0.562366039083101,1
b2664,671.375633763079,-1.46880571310949,0.886170772872725,-0.52902411979776,0.596788718022036,1
b3995,1803.32543087443,-1.47879148835401,0.487418856281209,-0.982299888861463,0.32595212928346,1
b1286,8065.45214353983,-1.47982527752091,0.468082502481256,-1.02508697714058,0.305322149730401,1
b0828,1474.58200176134,-1.48061950151736,0.338305432382595,-1.42066740735579,0.155413471967564,0.899306032981539
