,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3296,328478.871992889,2.30311822100847,0.398437175387501,3.27057388593601,0.00107329500449877,0.0075616168836277
b0914,4964.30988536955,2.30020482522497,0.423952384266098,3.06686522703664,0.00216316365012957,0.0132835906596732
b3871,20782.3808140499,2.26959150291438,0.460955855755858,2.75425832443879,0.00588253172382702,0.0319504295252626
b3031,1770.8947940525,2.26822621055427,0.363278604524032,3.49105671173755,0.000481114117299398,0.00370248690269536
b2174,808.881847053918,2.25129286007279,0.402855907543804,3.10605563091247,0.00189601041990778,0.0119854944401313
b1124,1411.06339796672,2.23594693917345,0.34163515765037,3.61773930901549,0.000297187505891225,0.00243661363821988
b2066,2211.63059290556,2.21681379721071,0.25406028878674,4.78946868486051,1.67223491028569e-06,2.74959281150254e-05
b3299,15782.9041374128,2.20502144588775,0.453186284425429,2.65899804848581,0.0078373416961406,0.0405896061337127
b4147,4790.45063769791,2.20186491415659,0.381883745296034,3.14720102376944,0.00164841589052641,0.0105533689672212
b0636,568.072261949755,2.1939477813497,0.457694170613713,2.60861478691931,0.0090909516037279,0.0465215533598933
b3667,494.142285295074,2.19083330966844,0.419534891534392,2.83846071851885,0.00453316986736819,0.025833916914604
b3614,1504.60693589903,2.18505444331241,0.365233160034654,3.24465183610373,0.00117594305953962,0.00811562538108882
b0868,1559.96983156947,2.18494421506082,0.328764206691926,3.60423729512377,0.000313070928572313,0.00255097941357282
b0143,6459.38694625845,2.18437276855249,0.372946166371602,3.17572045337072,0.00149464906678231,0.00979825499335068
b1211,4311.40586213638,2.18229469329072,0.363391782743774,3.2534987014947,0.0011399324630189,0.0079033566387647
b2211,1859.16112336727,2.18001236373713,0.39779797957716,2.96636087742684,0.00301346663956128,0.0177100021844529
b0766,886.93553616814,2.17753640102748,0.276725824165529,4.25524579998399,2.08819485689088e-05,0.000256464421403456
b1288,4681.92765794584,2.16399336353016,0.324441336892639,3.58768514110561,0.000333626824856837,0.00268417945453001
b1254,1669.15155851282,2.15941831768086,0.344708112468225,3.36347847858594,0.00076966837108114,0.00563487135908309
b2400,22284.3022393907,2.14905941395767,0.428029697992616,2.68453198305294,0.00726314336961473,0.0381410094226365
b1812,1128.8422482229,2.14216232828263,0.373938703045392,3.05441057312537,0.00225503233234907,0.013735611919106
b2832,636.550007343138,2.13265698377576,0.381723434503296,2.96721888518473,0.00300506941763544,0.0176952130678377
b1091,6713.17483818058,2.1314825241986,0.362856198396995,3.11826704131609,0.00181917892902637,0.0115727471404658
b2949,624.811548814847,2.12181674174535,0.260060202389603,4.31368095324606,1.60558607084112e-05,0.000208241745136248
b0949,6056.88631664887,2.10141303529025,0.353692097673155,3.11404479358217,0.00184541471013376,0.0117148794573681
b0415,5009.19607123252,2.09433640974315,0.329747992058216,3.31870530253282,0.000904358158774762,0.0064945434361653
b1628,668.744747180694,2.0935873121298,0.408636208351678,2.67618798769943,0.00744648645877167,0.038967787399033
b2952,648.693013032628,2.06484518101044,0.309314186787466,3.44260052236825,0.000576149695262017,0.00434494845374288
b1714,9341.37628667295,2.05649899701658,0.394118691196704,2.68066199501634,0.00734766909293075,0.0385176590603286
b1749,2255.97443531219,2.03840446823129,0.263122690663517,3.94646491951244,7.93135362149683e-05,0.000792871862029367
b3189,5882.64373965351,2.03834353943279,0.322127336183922,3.22339467284434,0.00126680877241719,0.00852995022842411
b3250,1193.51268980365,2.02621531002942,0.373234420544443,2.74951948036428,0.00596827151716083,0.032241524228253
b2569,8548.75993665242,1.98939427301759,0.359629948298883,2.75114538624387,0.00593872796475458,0.0321975359386424
b1094,56651.2074320296,1.98101662223678,0.301251207423273,3.25647366072928,0.00112805396019292,0.00783906320143305
b0406,11464.7993992155,1.96169719225391,0.312148749862833,3.08089394135491,0.00206380146511878,0.0128040796052421
b0408,11333.8497260907,1.9542825442676,0.327703608170177,2.91202940851367,0.00359088825750998,0.0207389304546018
b1054,1265.61420930573,1.87534603887147,0.273371266985457,3.2020411235027,0.00136457516071707,0.00906403235893523
b2953,475.27108068761,1.87507681050815,0.322212253993876,2.71583963571039,0.00661079307102068,0.0352068607977013
b2566,4822.67694192862,1.86920961468457,0.314773187457716,2.76138390853679,0.00575569749524376,0.0314317491164945
b3981,14907.3338195372,1.86569097739256,0.317069486357063,2.73028788527975,0.0063279039926222,0.0339378586727097
b0859,1347.33465531557,1.86184241266245,0.305581144260535,2.82033897984116,0.00479729428656284,0.0270871670532592
b0632,5324.20889154959,1.85707174644688,0.266852238121777,3.21178399131791,0.00131913519216463,0.00882061731827413
b4022,1123.41584861547,1.83043388040704,0.311247667218788,2.66808065688505,0.00762859420345641,0.0396449740210714
b0407,5957.52563213612,1.76091400963132,0.290506577662364,2.61926602748279,0.00881191983511189,0.0452475542386547
b0175,5349.63120545149,1.74962041874079,0.254415643185653,2.94643996475396,0.00321454812986095,0.0187816996558283
b1804,2391.81646904115,1.72929236052782,0.279753302766811,2.60691242360675,0.0091362724262766,0.0466740980147136
b2791,732.258107617199,1.67966807259744,0.222412390760714,3.05589122203478,0.00224392648644051,0.0136956892448265
b0076,285.695797617558,-2.01271665889406,0.359083015457008,-2.82028560333094,0.00479809240258796,0.0270871670532592
b3430,5272.15419880119,-2.04032762485128,0.374571967337308,-2.77737715464021,0.00547995505141216,0.0301999720690461
b1976,3151.56587791744,-2.04970720831161,0.393286283589144,-2.66906640814409,0.00760624097867952,0.0395971956831257
b2922,6113.67990534245,-2.07151188128229,0.381715863459189,-2.80709287681163,0.00499908260707264,0.0280638797848537
b0454,201.975457960281,-2.09493428245167,0.348826684432884,-3.13890631455502,0.00169579654743599,0.0108107029899044
b1598,849.224948766296,-2.10209591268099,0.39656638990511,-2.77909560854287,0.00545104784127238,0.0301916026230538
b0710,4048.06560587247,-2.11028192061523,0.296558974204315,-3.7438823882979,0.00018119849539083,0.0015895809697697
b1529,815.746428240366,-2.12672593265823,0.355229043827459,-3.17182942171108,0.0015148195498875,0.00988740135707482
b2147,1094.59692461983,-2.17790301706443,0.372993070756896,-3.15797560172947,0.00158868853714912,0.0102363250712671
b3253,2144.71778170625,-2.18925484390129,0.402666692581509,-2.95344726994166,0.00314246289656162,0.0183962468010776
b3068,1333.76321263245,-2.21686628932854,0.405585823897324,-3.00026829743584,0.00269741891296213,0.0160723435823823
