,predict,resid,K-12,Gene Name
PROKKA_00147,3.479011828722573,1.2137582441725545,b1321,ycjX
PROKKA_00148,3.3912577208667978,1.0936581695273384,b1320,ycjW
PROKKA_00149,1.4371070407317563,-0.39706667073417057,b1319,ompG
PROKKA_00151,-0.743408103376994,1.312441854957936,b1317,ycjU
PROKKA_00152,1.0489331163100348,-0.060587094778526085,b1316,ycjT
PROKKA_00153,1.316988075993072,-0.464650056027306,b1315,ycjS
PROKKA_00154,0.9612763496236623,0.4269090830513156,b1314,ycjR
PROKKA_00155,1.6856948703558885,-0.5406162174591997,b1313,ycjQ
PROKKA_00156,0.1660005696335045,0.9284506432431396,b1312,ycjP
PROKKA_00157,0.12475780009730641,0.03946499928401356,b1311,ycjO
PROKKA_00158,1.3145377436274592,-0.5853720779370647,b1310,ycjN
PROKKA_00159,1.2458976778880806,-0.20402720800893248,b1309,ycjM
PROKKA_00161,6.776441242364552,0.4766300898713416,b1308,pspE
PROKKA_00162,4.897109388237389,2.216165534394791,b1307,pspD
PROKKA_00163,3.7127535669133493,2.365546824868048,b1306,pspC
PROKKA_00164,5.483852362332963,3.589526547427414,b1305,pspB
PROKKA_00165,7.880329276369739,2.5025227637524825,b1304,pspA
PROKKA_00166,3.8128945953552904,0.43858396083871476,b1303,pspF
PROKKA_00167,5.507490630682538,1.0831270150483459,b1295,ymjA
PROKKA_00168,3.6686888437858522,0.8202498253400661,b1294,sapA
PROKKA_00169,3.038125751563416,0.8345450982476472,b1293,sapB
PROKKA_00170,3.178096573027438,-0.19225029371568425,b1292,sapC
PROKKA_00171,4.004416086382354,0.9186240078346879,b1291,sapD
PROKKA_00172,3.5442414832877667,1.2155856333709734,b1290,sapF
PROKKA_00180,6.859464485593332,1.30354219475044,b1288,fabI
PROKKA_00181,4.0994932333188725,1.0500128437763623,b1287,yciW
PROKKA_00182,5.430679148922275,2.547455330284505,b1286,rnb
PROKKA_00183,4.701077166735136,-0.6787038464583128,b1285,pdeR
PROKKA_00184,7.221520535396639,2.688147265146844,b4596,yciZ
PROKKA_00185,5.01464454924725,2.4022612733670883,b1284,yciT
PROKKA_00186,8.23496278528043,-0.461558618529601,b1283,osmB
PROKKA_00187,6.101546068594287,1.5799407265584877,b1282,yciH
PROKKA_00188,5.557170247651664,1.0261003704814717,b1281,pyrF
PROKKA_00189,5.625796371769948,0.13317570822981128,b1280,lapB
PROKKA_00190,6.512308366934336,0.4788385580719208,b1279,lapA
PROKKA_00191,5.858055253757184,-0.4653095741634816,b1278,pgpB
PROKKA_00192,5.102199663179428,0.930106428116237,b1277,ribA
PROKKA_00193,5.244586693930902,-1.006716951657534,b1276,acnA
PROKKA_00195,6.1211787106759274,0.39159878069040843,b4523,yciX
PROKKA_00196,8.525822588612058,-0.3470433851505703,b4522,ymiA
PROKKA_00197,6.595674467325835,1.4530497042570785,b1275,cysB
PROKKA_00198,7.13602611093938,1.2119449239046496,b1274,topA
PROKKA_00199,6.189964027473455,-0.23725089120075182,b1273,yciN
PROKKA_00200,6.755192219636475,0.7569417944663792,b1272,sohB
PROKKA_00201,5.187975453437086,1.1395537262336246,b1271,yciK
PROKKA_00202,4.848057036284079,0.5642505466501024,b1270,btuR
PROKKA_00203,6.474371849411022,1.0467605099405501,b1269,rluB
PROKKA_00206,6.407174130006588,1.4599473691127036,b1267,yciO
PROKKA_00210,5.124418239548071,-0.7187065978113658,b1264,trpE
PROKKA_00211,4.074657276959211,-1.1627579136418587,b1263,trpD
PROKKA_00212,5.033349401377697,0.3406905591837823,b1262,trpC
PROKKA_00213,6.387648482878137,-0.8681003161504544,b1261,trpB
PROKKA_00214,4.138341349707866,-0.4683515941214944,b1260,trpA
PROKKA_00215,4.460903543252699,-2.4728882188851937,b1259,yciG
PROKKA_00216,3.967468872872484,-1.359053107336249,b1258,yciF
PROKKA_00217,4.227042183853835,-1.5360205481605544,b1257,yciE
PROKKA_00265,5.315011188351758,-1.5922954475585431,b0551,ybcQ
PROKKA_00292,7.043476965592562,-5.62944033547936,b1256,ompW
PROKKA_00293,4.974840901246106,1.134654196707209,b1255,yciC
PROKKA_00294,4.804228687903429,2.7579774597755593,b1254,yciB
PROKKA_00295,4.705187962683277,1.9388093268292916,b1253,yciA
PROKKA_00296,6.785601115858142,1.7938826739169293,b1252,tonB
PROKKA_00297,5.349642099255131,1.4139113848288503,b1251,yciI
PROKKA_00298,4.691020738179679,1.2219503051424327,b1250,kch
PROKKA_00299,5.127631544950258,0.3900896541773671,b1249,clsA
PROKKA_00300,6.667354061702242,1.983593536020849,b1248,yciU
PROKKA_00301,6.052447183616878,-0.10220039359423705,b1247,oppF
PROKKA_00302,6.231028462000091,0.0202943826245221,b1246,oppD
PROKKA_00303,6.367624621915261,-1.3363690458749327,b1245,oppC
PROKKA_00304,6.630220413171861,-1.135086252459514,b1244,oppB
PROKKA_00305,8.081267288792302,-0.08287790200175227,b1243,oppA
PROKKA_00308,4.505237377803421,0.17423633887066892,b1242,ychE
PROKKA_00309,8.529183576013896,-0.2218135581912719,b1241,adhE
PROKKA_00311,4.951696003124281,2.274580455941856,b1238,tdk
PROKKA_00312,12.014433581541452,1.1151176495049704,b1237,hns
PROKKA_00313,6.9598351380820045,1.1340105580953264,b1236,galU
PROKKA_00314,4.930529981746865,0.5007790835443533,b1235,rssB
PROKKA_00315,4.422211889021113,1.5678134845057023,b1234,rssA
PROKKA_00316,5.5019495952631345,2.055585142856648,b1233,ychJ
PROKKA_00317,5.474714411814209,2.016142258901188,b1232,purU
PROKKA_00323,6.870257663709602,-3.126699070269449,b1227,narI
PROKKA_00324,7.850137390330762,-2.9421785935549414,b1226,narJ
PROKKA_00325,7.719478252801972,-3.1983458286014566,b1225,narH
PROKKA_00326,7.769931384262984,-3.314290372567285,b1224,narG
PROKKA_00327,6.79821408271823,-3.796158597036177,b1223,narK
PROKKA_00329,5.297999028811015,-0.15635497049624547,b1222,narX
PROKKA_00330,6.942824290588254,-0.14239081108541196,b1221,narL
PROKKA_00331,3.647911373944857,-0.8523142136456312,b1220,ychO
PROKKA_00332,6.721458628728024,0.39862407687371615,b1219,ychN
PROKKA_00333,5.701349743143703,-1.1167753068167316,b1218,chaC
PROKKA_00334,6.011429928144507,0.5117517248569721,b1217,chaB
PROKKA_00335,5.5233570690730485,1.8023493243516402,b1216,chaA
PROKKA_00338,6.18684071167026,1.3038074315430412,b1215,kdsA
PROKKA_00339,6.805269363962109,-0.8901297667114845,b1214,ychA
PROKKA_00340,5.977759849387714,0.3895799509289093,b1213,ychQ
PROKKA_00341,5.416517687938467,0.12328823164902136,b1212,prmC
PROKKA_00342,6.858724806204135,1.2765486968788338,b1211,prfA
PROKKA_00343,7.322557084764329,-0.010714438777154278,b1210,hemA
PROKKA_00344,6.21708942834989,1.3840521942720674,b1209,lolB
PROKKA_00345,6.9593708429428744,2.1302321372553283,b1208,ispE
PROKKA_00346,8.129632394510939,2.0217444490016003,b1207,prs
PROKKA_00348,5.682404753533241,-0.18555590607295702,b1206,dauA
PROKKA_00349,5.241098715629358,0.33216943591612935,b1205,ychH
PROKKA_00350,5.117489133955179,0.8050701372875047,b1204,pth
PROKKA_00351,7.069784882174384,1.8791816619499304,b1203,ychF
PROKKA_00352,3.7882355577585507,0.3221861510360027,b1201,dhaR
PROKKA_00353,5.535637617781046,1.1333278587528515,b1200,dhaK
PROKKA_00354,4.380716568847223,0.9408667836791622,b1199,dhaL
PROKKA_00355,4.678711346072696,1.1415859224263043,b1198,dhaM
PROKKA_00356,2.867013621765496,-0.8654551868242666,b1197,treA
PROKKA_00364,2.113510445501885,-0.48550529421291433,b1195,ymgE
PROKKA_00365,1.1584373396344048,1.7782566506188817,b1194,ycgR
PROKKA_00367,4.893226665272493,0.523584574757689,b1192,ldcA
PROKKA_00368,4.416745598678809,0.9732363857655164,b1191,cvrA
PROKKA_00369,4.112814810874791,0.6687653685954693,b1190,dadX
PROKKA_00370,4.318334738392783,0.9103370392833448,b1189,dadA
PROKKA_00371,4.379878878240801,-0.44609665568667944,b1188,ycgB
PROKKA_00372,5.750550117482098,1.4326264863261668,b1187,fadR
PROKKA_00373,5.155992019668126,1.0666996612039092,b1186,nhaB
PROKKA_00374,4.280109045514721,1.240030716767567,b1185,dsbB
PROKKA_00375,4.44325245236296,-0.6462425009785115,b1184,umuC
PROKKA_00376,4.741770717830662,-0.24689014328432002,b1183,umuD
PROKKA_00378,6.100433680592311,-0.20933062634399668,b1181,ycgN
PROKKA_00379,5.382621158680754,1.3917945203054511,b1180,ycgM
PROKKA_00380,7.071829955874435,1.0145438314806299,b1179,ycgL
PROKKA_00381,6.315622020447322,0.3999465282364687,b1178,pliG
PROKKA_00382,5.29082814667519,1.6628538932728771,b1177,ycgJ
PROKKA_00383,6.924518655192008,1.028612408837719,b1176,minC
PROKKA_00384,7.642752014275473,0.8619234098437136,b1175,minD
PROKKA_00385,7.137530459331018,1.0288950856360337,b1174,minE
