,HM43_LB_rep2,HM43_UR_rep1,HM43_UTI,HM43_UR_rep2,HM43_LB_rep1,HM43_mouse
PROKKA_00904,164.25117091967923,93.91577782338096,221.8155291512635,45.150184814769545,165.84360842777997,106.75482432095059
PROKKA_00905,336.97749883835843,155.03686564205606,268.9711761276447,136.82956461261884,305.14621162743543,258.04409631271693
PROKKA_00906,116.86860471773275,69.76445103362269,84.50830827863975,49.81612590188959,102.18203503019211,112.31560510335103
PROKKA_00907,17.49608185835484,37.76258347839214,36.28474495632011,22.07369672707171,12.995097264390942,99.37101845582887
PROKKA_00908,89.3334990449604,75.44722594176872,132.4114603367866,48.61245625323606,88.29319905078339,136.37563639324935
PROKKA_00909,1369.4241325197625,1026.2081605393323,1254.1782283303348,1626.9583091112027,1216.700258204891,358.4651978334294
PROKKA_00910,109.33207881130411,118.18669195818656,10.513701595788369,192.82675107063287,120.86602226833799,13.426152219316489
PROKKA_00911,26.08854651404918,54.31299741425349,14.975531576085784,60.554205927174905,24.622875928031505,24.928541941437402
PROKKA_00913,3072.1852987141247,1597.4167121464047,409.61515563304357,2798.251592580849,2618.5130267971463,679.0634113492551
PROKKA_00914,8.351903226724103,21.71348550007548,9.1041723708585,11.846217243528484,10.260308138601205,86.16829644728224
PROKKA_00915,1.0169202812978806,2.0316105417619923,2.224003599620067,1.6726307540000107,1.093509531644988,27.947014041088476
PROKKA_00916,13.404358053051183,46.51457163640379,56.54405095038097,29.189698698106135,11.87086162199417,119.91460946296844
PROKKA_00917,15.258548937079018,60.640778275041576,50.993615249722126,52.379936585444945,15.622929461055202,211.35336718496356
PROKKA_00918,0.2511742678598931,0.3324409972046739,0.9035331748016471,0.7713352962599938,0.04427271942767842,43.90164209479116
PROKKA_00919,0.1795556590511939,0.2546254162952787,1.435342490901115,0.35574225956542,0.5274835265144568,72.35695943903887
PROKKA_00920,0.058533562862503725,0.33202256926609025,6.433748830360725,0.7248052645330693,0.42988745552940316,169.66115143027753
PROKKA_00921,0.14416403728522617,0.4088740862029068,4.70574310308087,0.904473086707017,0.2682248963035538,129.02204815635844
PROKKA_00922,0.3648636733122658,0.2874489825453947,1.2152785392068937,0.0,0.21437316775507445,76.17320005569904
PROKKA_00923,0.4340619561818334,0.045595355852028126,0.5783049600363839,0.4299897366072045,0.5100602956931082,53.85675331390643
PROKKA_00924,0.15133392676296523,0.14306970999127278,1.8146129440777194,0.29982832810752935,0.21339652462179395,47.31788098672828
PROKKA_00925,1.4404381710124963,2.025206924696476,5.75732929637334,2.305031847246682,1.7034895374690646,101.496149070881
PROKKA_00926,44.04861210034052,63.08813292149158,42.03808292830238,59.443384017705654,48.81644070690616,36.17739811828413
PROKKA_00928,63.00038753285012,29.902546449610096,44.04050862325861,16.950684836268405,66.87153109209228,20.14002702928522
PROKKA_00929,532.6023589123572,1083.636591765758,102.98917732610572,1932.7294104018463,513.7867019343843,368.376034689416
PROKKA_00930,267.9083007124722,172.25428037014206,2750.3447874835824,120.40146958069006,276.0116584342371,1902.2460717523043
PROKKA_00931,1493.1134211179922,1183.2372240330021,27370.920728702356,877.4664013896016,1460.8756516795393,4363.832754872785
PROKKA_00932,103.80338899507572,88.5705067370637,114.61575359648717,67.71787575314616,98.57861036533447,39.08710842270377
PROKKA_00933,2.0033793267086644,2.116797252394157,3.8859272314639943,1.7511038053996282,1.1943817677972581,39.19295032687607
PROKKA_00934,9.693062053370188,11.387739109984038,6.964940611585738,12.493551519131135,9.342511508954415,49.70521527335121
PROKKA_00935,10.773339543071632,12.182078740401568,9.118646412783553,12.597461191669577,10.177329217455403,27.076169088456783
PROKKA_00936,7.587550396688788,12.729905531030449,8.40040926980465,7.022333129169402,5.253339957897866,44.27566263810692
PROKKA_00937,5.662307272355325,15.998449885193587,21.088760859050765,12.620667281241001,6.729310422516636,84.3485544847864
PROKKA_00938,5.593290805664579,17.387545890693037,22.551235789948215,12.630158090526693,4.305196429640052,63.3251596649774
PROKKA_00939,114.12083735269991,276.480979946424,86.80543368830398,424.8068202727248,112.06856097536387,162.42369514099946
PROKKA_00940,141.84709405923218,342.2104307497418,127.50887178789867,590.5412768082962,146.3961491398331,267.60582529722615
PROKKA_00941,18.338154234332585,180.05859946833849,332.27657353528764,35.886038784538805,20.60378752961554,507.3409351233078
PROKKA_00942,20.269090026835308,236.00840730545335,488.50515601186015,112.49848249141736,21.745897275919855,418.5433733758545
PROKKA_00943,17.48876309489061,172.4021056697122,567.2667806105319,73.47634291850159,20.113556211026868,376.377036628817
PROKKA_00944,18.00775972402371,118.42158926343717,453.8232010082292,43.82037572485347,17.00030261528158,321.35305161925305
PROKKA_00945,98.32467889643378,582.9411841037648,749.3675672151463,169.11496340761354,92.44276125775706,1550.0441923336307
PROKKA_00946,18.639887802183868,76.99619174523957,215.92844971790998,29.27239435954227,18.955592423292735,286.0862099625072
PROKKA_00947,26.04608846713741,122.61936156220226,94.6605369940727,66.03261029749258,27.86260682899209,57.76300900723998
PROKKA_00948,17.650421222947042,44.140111127125635,61.08860248844448,13.431085310122997,20.190386145129985,71.33315463932249
PROKKA_00949,15.22286591729641,39.72780752652711,82.17792552573597,15.154519623184326,14.619724467830391,56.57260951693228
PROKKA_00950,4.182001525152508,19.64301518272608,15.23407328988275,9.281896644995758,4.167750317862434,27.500715443685966
PROKKA_00951,10.099281806875418,37.330002564279326,38.545891086296066,17.514568505216847,11.930486277922949,47.082642573187265
PROKKA_00952,34.008502765372384,104.96190780191637,178.80669008123732,59.820570783952974,33.545104522495336,82.32081600160295
PROKKA_00953,1.9936541843460007,27.140866968356764,47.81096699612364,6.552188413602104,1.570997715684363,48.73913204847433
PROKKA_00954,10.654345171755047,398.2982721646253,242.83657567911723,216.20219784146522,10.476059327516596,265.29140538205115
PROKKA_00955,15.603222041586315,354.02744119616585,153.9635266386774,85.73714824572093,15.828377234160417,281.71786661663594
PROKKA_00956,14.274557843944715,332.6591983732619,275.8552358523488,180.77365267757358,14.839961575670868,216.32640668719293
PROKKA_00957,14.734465635783147,209.28390466498365,664.8890884592598,88.28252374343846,13.17390107469856,342.13882412891485
PROKKA_00958,7.582420401601963,83.34898552969365,236.01821464785036,31.816668415398773,7.0817680668735,192.75164664005098
PROKKA_00959,153.67601840320995,196.02583364683193,25.855050921626663,294.2503376718552,137.23455622454017,47.53443879444785
